seqnum, uri, duration, bitrate_string, uri_hash_string, download_addr, gear_name_string, quality_type_string, request_time_start, request_time_start, request_time_stop, request_time_stop
0,v15044gf0000cn2251vog65gq3sh5psg,61,2152841&1600321&1234747&1020827&802878&560054,v15044gf0000cn2251vog65gq3sh5psg&v15044gf0000cn2251vog65gq3sh5psg&v15044gf0000cn2251vog65gq3sh5psg&v15044gf0000cn2251vog65gq3sh5psg&v15044gf0000cn2251vog65gq3sh5psg&v15044gf0000cn2251vog65gq3sh5psg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/oMIGLigDVIPEICyQabUIolUAIfqhEzXQfAeLjJ/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3124&bt=1562&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0EPIY94jVG4WdpWrKsd.&mime_type=video_mp4&qs=0&rc=aTY4PGc4OTtmNDtlOGQ0ZEBpanNrNmo5cjQ1cTMzaTczNEAtMS9hYy81Ni8xMzAyLTIyYSNwMnBuMmRzMi9gLS1kMTJzcw%3D%3D&btag=e00090000&expire=1711248329&l=20240322024427C481A81F4703E323E505&ply_type=2&policy=2&signature=f6e13dcd7c9eb0447b4c3c4b4f01f3bd&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711075467.14889, 1711075467.150113, 1711075468.6071548, 1711075468.646147
1,v12044gd0000cnhc5kvog65sttbu6h50,13,2182127&1235263&1039430&860170&621475&433348,v12044gd0000cnhc5kvog65sttbu6h50&v12044gd0000cnhc5kvog65sttbu6h50&v12044gd0000cnhc5kvog65sttbu6h50&v12044gd0000cnhc5kvog65sttbu6h50&v12044gd0000cnhc5kvog65sttbu6h50&v12044gd0000cnhc5kvog65sttbu6h50,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ooaGLCfvYIzeiTWiQgD5IeUnkwxnLIAV0HGjAO/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2412&bt=1206&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0EPIY94jVG4WdpWrKsd.&mime_type=video_mp4&qs=0&rc=NmY7NTRmOTgzOzc0aDo4OEBpM2t4d3Y5cm5mcTMzZzczNEBhMS9fNmIuX2AxXjMyMDAzYSMyM19xMmRzMmVgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711248281&l=20240322024427C481A81F4703E323E505&ply_type=2&policy=2&signature=0cb79896e958f59c21ba6987b3ef6f42&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711075467.14889, 1711075467.150113, 1711075468.6071548, 1711075468.646147
2,v09025g40000cnevh07og65utj0kqd9g,28,1026383&612792&496089&464252&330721,v09025g40000cnevh07og65utj0kqd9g&v09025g40000cnevh07og65utj0kqd9g&v09025g40000cnevh07og65utj0kqd9g&v09025g40000cnevh07og65utj0kqd9g&v09025g40000cnevh07og65utj0kqd9g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/oIGCKiLYgeraEA2EFfAGWQID7g7Su3aCmofXV9/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2004&bt=1002&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0EPIY94jVG4WdpWrKsd.&mime_type=video_mp4&qs=0&rc=NjpmZGk6aDw3ZDY0ODM8ZEBpamdubXg5cjN5cTMzNzgzM0A2YzUtNmMxXzQxXzRgYjEzYSM2bi1xMmQ0ZWJgLS1kLzZzcw%3D%3D&btag=e00088000&expire=1711248296&l=20240322024427C481A81F4703E323E505&ply_type=2&policy=2&signature=87013f18e89aa39de72727c877ab7669&tk=tt_chain_token,normal_540_0&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&24&14&25&28, 1711075467.14889, 1711075467.150113, 1711075468.6071548, 1711075468.646147
3,v12044gd0000cm5ku6fog65lq4arus60,61,1383397&1139148&897480&749385&544074&369907,v12044gd0000cm5ku6fog65lq4arus60&v12044gd0000cm5ku6fog65lq4arus60&v12044gd0000cm5ku6fog65lq4arus60&v12044gd0000cm5ku6fog65lq4arus60&v12044gd0000cm5ku6fog65lq4arus60&v12044gd0000cm5ku6fog65lq4arus60,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oYIDt8liQVRcEZoEF0A6GIEDLg2SiVfBMkfs6r/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2224&bt=1112&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0EPIY94jVG4WdpWrKsd.&mime_type=video_mp4&qs=0&rc=NmRnODVpZ2doZWQ0OWRmN0BpM3Z1N285cjlucDMzZzczNEBgLWEvM2IwXzAxNV8xNjM0YSMzcl5uMmRjcjJgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711248329&l=20240322024427C481A81F4703E323E505&ply_type=2&policy=2&signature=20222f2c8acc8c2233087a87f0920c0e&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711075467.14889, 1711075467.150113, 1711075468.6071548, 1711075468.646147
4,v12044gd0000cn43og7og65pk19c11r0,5,576446&423893&373804&303258,v12044gd0000cn43og7og65pk19c11r0&v12044gd0000cn43og7og65pk19c11r0&v12044gd0000cn43og7og65pk19c11r0&v12044gd0000cn43og7og65pk19c11r0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oALICcLkHgG1BmWAiYKAeUIgLgQejhsHkxJHeC/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1124&bt=562&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0EPIY94jVG4WdpWrKsd.&mime_type=video_mp4&qs=0&rc=aDRmaWk8Z2k1aGY3Z2Y5OkBpMzRmNHM5cmo2cTMzZzczNEBgX2AxYC4tXjQxYzMzX2MyYSNvLjZoMmQ0bDFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711248273&l=20240322024427C481A81F4703E323E505&ply_type=2&policy=2&signature=75664f04b590be20eee374b2c243efbd&tk=tt_chain_token,normal_540_0&adapt_540_1&lower_540_0&lowest_540_0,20&28&24&25, 1711075467.14889, 1711075467.150113, 1711075468.6071548, 1711075468.646147
5,v12044gd0000cmr75qfog65v7vvf0r00,7,1642017&1442714&982640&803697&780859&587159,v12044gd0000cmr75qfog65v7vvf0r00&v12044gd0000cmr75qfog65v7vvf0r00&v12044gd0000cmr75qfog65v7vvf0r00&v12044gd0000cmr75qfog65v7vvf0r00&v12044gd0000cmr75qfog65v7vvf0r00&v12044gd0000cmr75qfog65v7vvf0r00,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/owvufFNW2AIBOsnAgzfcLGyFIGZ4RevKRfAAgY/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2816&bt=1408&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0EPIY94jVG4WdpWrKsd.&mime_type=video_mp4&qs=0&rc=Njs8ODxoaDxoaWk4OztmZEBpM3VpeXk5cnQ6cDMzZzczNEBgLWIzNS4yNWMxL2IzMWM1YSMtLXM0MmRjMm9gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711248275&l=20240322024427C481A81F4703E323E505&ply_type=2&policy=2&signature=bf01ce5a9b8287f9eb59f8465cdc862a&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711075467.14889, 1711075467.150113, 1711075468.6071548, 1711075468.646147
6,v12044gd0000cmq0lhvog65k2g15dvrg,145,1389964&1339931&951847&813823&679838&476497,v12044gd0000cmq0lhvog65k2g15dvrg&v12044gd0000cmq0lhvog65k2g15dvrg&v12044gd0000cmq0lhvog65k2g15dvrg&v12044gd0000cmq0lhvog65k2g15dvrg&v12044gd0000cmq0lhvog65k2g15dvrg&v12044gd0000cmq0lhvog65k2g15dvrg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oAfoClTqfABjQADHE0S0rKEgSFREAtXXtSEID3/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2616&bt=1308&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0EPIY94jVG4WdpWrKsd.&mime_type=video_mp4&qs=0&rc=aWY6aDk3ZjU5N2loZzc8OUBpank4am45cmszcDMzZzczNEA0YTA1Yy8zXi0xM2M0Nl5fYSNvYS4vMmRzaW5gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711248413&l=20240322024427C481A81F4703E323E505&ply_type=2&policy=2&signature=4b74114deee812eb96ae0acdc24cc49f&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711075467.14889, 1711075467.150113, 1711075468.6071548, 1711075468.646147
7,v12044gd0000cnqdfhvog65uasnek1gg,9,1312566&1053830&752464&633046&575319&494192,v12044gd0000cnqdfhvog65uasnek1gg&v12044gd0000cnqdfhvog65uasnek1gg&v12044gd0000cnqdfhvog65uasnek1gg&v12044gd0000cnqdfhvog65uasnek1gg&v12044gd0000cnqdfhvog65uasnek1gg&v12044gd0000cnqdfhvog65uasnek1gg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oYQB0LUI8CaD9Ajl83IAfFEHf2DED6gBrfCHZk/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2562&bt=1281&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo03PIY94jVonZdpWrKsd.&mime_type=video_mp4&qs=0&rc=PGY8ODdlZjc8OGk5OzNpOkBpajRodng5cmtncTMzZzczNEAyYDFiNjM0NmAxLy00MmIvYSNkaGteMmRzY25gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711248280&l=202403220244291D3B09F4D06004232AF7&ply_type=2&policy=2&signature=2ae8629f7da590ccac4c70eb28a4846f&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&2&24&14&25&28, 1711075469.747862, 1711075469.7494552, 1711075471.170594, 1711075471.176408
8,v12025gd0000cnq2hcvog65v7i1a671g,19,1769205&1199805&746431&567135&472688&458165,v12025gd0000cnq2hcvog65v7i1a671g&v12025gd0000cnq2hcvog65v7i1a671g&v12025gd0000cnq2hcvog65v7i1a671g&v12025gd0000cnq2hcvog65v7i1a671g&v12025gd0000cnq2hcvog65v7i1a671g&v12025gd0000cnq2hcvog65v7i1a671g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oMK0ilIPEipCAFoHjQSIIgDKvzE9BDDfCEdfVH/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3454&bt=1727&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo03PIY94jVonZdpWrKsd.&mime_type=video_mp4&qs=0&rc=ODw1Z2RnNWg5OTxmN2k2aEBpajpkbHk5cmY1cTMzZzgzNEAzYzRhMi5eXy0xMzRhLi4xYSMuMy40MmRzZW5gLS1kLy9zcw%3D%3D&btag=e00088000&expire=1711248290&l=202403220244291D3B09F4D06004232AF7&ply_type=2&policy=2&signature=ab5bcc2259917e4639ca0d7ab740ae50&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&2&24&14&25&28, 1711075469.747862, 1711075469.7494552, 1711075471.170594, 1711075471.176408
9,v12044gd0000cm74hivog65h4ppn1210,494,1667191&1570064&949189&774506&763497&530767,v12044gd0000cm74hivog65h4ppn1210&v12044gd0000cm74hivog65h4ppn1210&v12044gd0000cm74hivog65h4ppn1210&v12044gd0000cm74hivog65h4ppn1210&v12044gd0000cm74hivog65h4ppn1210&v12044gd0000cm74hivog65h4ppn1210,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/o8lPS6cTLBEQkAFRiDhIOxli5jEbgNfEejnDEE/?a=1988&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3066&bt=1533&bti=NDU3ZjAwOg%3D%3D&cs=0&ds=6&ft=4KJMyMzm8Zmo0jPIY94jVxubdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZjM0aTY4PDxmNDxpPGlnNUBpMzVxc2s5cmw3cDMzZzczNEA2YDA0NjBjX2AxYjJhXzNiYSMuLm0xMmRzZTRgLS1kMS9zcw%3D%3D&btag=e000a0000&expire=1711248778&l=20240322024443BFF14CE8658BA1240A8D&ply_type=2&policy=2&signature=280764c00051367b0c70b118f538dd2c&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711075483.170072, 1711075483.171544, 1711075484.9903371, 1711075485.098748
