seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,owABB4Bp2EAml6EJpI34EfJ2Rwi0TABXyI1KNi,7,671765&361839&266952,owABB4Bp2EAml6EJpI34EfJ2Rwi0TABXyI1KNi&oED4IpiBnTfBp0wF3ymEBlREAViDJKA41BAsFw&ogfn3mBp4ABi1xRIDEpB08AxlT4wAy3JBBKEiz,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/owABB4Bp2EAml6EJpI34EfJ2Rwi0TABXyI1KNi/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&br=1312&bt=656&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZzNkOGQ4NmRkOWc2ZzhnM0BpajhwbG45cjNncTMzZzgzNEBiY2NfLi40XzYxMV9iLzM2YSM1Z2I2MmRzbC9gLS1kLy9zcw%3D%3D&btag=e00088000&expire=1712090362&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=acae9ea66635545a604874532d969c36&tk=tt_chain_token,normal_540_0&lower_540_0&lowest_540_0,20&24&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
1,ogXQAxzgvOenHUL8ULTlEgIGmGzse8AWrtCafk,11,494397&421949&324966&296016&231525,ogXQAxzgvOenHUL8ULTlEgIGmGzse8AWrtCafk&okvXkBGlQLAaIDCzeTIkenEPHzT8erOmLUvrAW&oQdEeeTNXAerGT0IOOzIAlCkPHzLQ1pULWavzH&oomXF0eBgLzvu8eAWAoAm5eFW1ocYO2OJ4egtI&o4erzzIbOjvr4mksEUalnsAQGeARLHKWXCfLTI,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/ogXQAxzgvOenHUL8ULTlEgIGmGzse8AWrtCafk/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=964&bt=482&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZWc0NDNoPDc0aGVmNzU0O0Bpam9od3Y5cm48cTMzZzgzNEAtM2BfMy8wNTUxM18xMGFjYSNrXzVxMmRramdgLS1kLy9zcw%3D%3D&btag=e00088000&expire=1712090366&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=0c82502a7d99c0c5dddbac102ed55f2c&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
2,owcIz9LsvgG9HcBA4YUAeRIbLlRejpgIqnzvfC,78,3108971&2770952&1863409&1757256&1428584&989883,ooERwzIZu3OoeBDZBAfsFNAVg8Q3W5tDEX2lgE&owcIz9LsvgG9HcBA4YUAeRIbLlRejpgIqnzvfC&ooRX71iEIEAlBO2f0giVZWvM2LeYpEAGBBXRQ3&ogbIVEgCAAeYEG37Rif0XlBBrQ2E2iEMHYYBQZ&oYdI4yGfL1vHsflDRjnYACzIbcggRqAeALvRUI&okysuFBRVDlO2wE8fASoAW5ZQf3DNZEEVmIdXg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c002-tx2/owcIz9LsvgG9HcBA4YUAeRIbLlRejpgIqnzvfC/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=5412&bt=2706&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=PGgzZjdnaThpN2ZkZzVnaEBpM3UzZ3E5cjNxcTMzaTczNEBfL18wLWIvNTQxNC00YTVhYSNvbTAwMmRzcmBgLS1kMTJzcw%3D%3D&btag=e00090000&expire=1712090433&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=9e0952d9af728ad4f1c32e04ae2b243a&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
3,owjCBFHpghlff0eMHLtkAkk7oNQIIMQjD2YmEA,17,2936839&2679917&1467041&1445438&1193650&962383,owjCBFHpghlff0eMHLtkAkk7oNQIIMQjD2YmEA&oEpEozifTIBUy6QAASkgfQiGl7EYR2xDSFYbYB&o8SBSD8DiT9QEViglvTAxYbfGA6RByEf7IDnQo&owHEDfySVEAbTDdQoTYA7fQhSgi6GBBblIxRAi&ogS7jLEMe7hEIYVyHAIem0BfljYAxFQDgQkCk2&ooDhAE0gBIwelF9ImkffPjhOWQEkCjAM2LQ2AH,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/owjCBFHpghlff0eMHLtkAkk7oNQIIMQjD2YmEA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=5736&bt=2868&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=aTg7OTM0Nzc3Mzk2OmdpZUBpM205N3Q5cnNwcTMzZzczNEAvYi5eMWExXl8xXjM0YmJiYSM2ZDMwMmRjLXFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712090372&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=b3dfe964f57b910f9e9a9d8c41f7f52b&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
4,os0Ewi6HIqsIyAdfq9r9zTxrqpsBCAiPpphBOH,6,683506&620206&414869&365625&347477&265560,osC9A7T1uFPQTIORQLED1efWIMDkAoYVHkUfPj&os0Ewi6HIqsIyAdfq9r9zTxrqpsBCAiPpphBOH&okqd3FPry3BsGpsqA6iiwqBPC9AIlUGEIpfHpT&o8pA91qALTsBnp6tEnVI2PfqCpBiqdiywIrEHy&ocIjokLAOD3TgfWqDHQPT1Ff7xICYAf1EdIVVx&oYtDGfTVDHnLFAYIfUE7OFQj1CkITWPA1AjfoA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/os0Ewi6HIqsIyAdfq9r9zTxrqpsBCAiPpphBOH/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1210&bt=605&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=Z2c4O2Y3aDxmN2ZmaWlkO0BpajxqdHQ5cjo6cTMzZzczNEAvNTNgMDJfNS8xMC5fYy1fYSNpY2loMmRzXmlgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712090361&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=95ae0a29ba044748a99aab64e58bcb39&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
5,oYeEEBRkvCHLTUwgeQZFQ8AOhU5AHLqDGIjeI2,6,1192712&964688&607522&579494&493361&433382,oYeEEBRkvCHLTUwgeQZFQ8AOhU5AHLqDGIjeI2&ociZgIBoeolA4jTEBHEMBF3ERDnDKg8SpQfOsw&o4wlwQEIQDglor3fBEFSe3Ws4H8p4EAKDBgRPo&owDPgICoeolA4aqEBOEiBF3ERDIDKg8SpQfWsw&oQIDl3MoPpogEB4KE08DDsDAEuSIewzQBgfFRE&o8Me9keRgCzvmAQ2H8jEIIgH55mhBADGsoAeWL,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oYeEEBRkvCHLTUwgeQZFQ8AOhU5AHLqDGIjeI2/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2328&bt=1164&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=PDlmaTQ0NDVpOmY0Nmk5PEBpM3Jtam45cmQzcTMzZzczNEBeYDUxNF82XmMxNC9hYTBhYSNiYDMvMmQ0cmNgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712090361&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=6abea450753ec161b68cd6efab5b2d97&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
6,ogmIBiwDI2yQlACFEAjwzpiER01QbBfbwjAlX2,61,651501&553603&393635&366500&347123&276507,ogmIBiwDI2yQlACFEAjwzpiER01QbBfbwjAlX2&ocujIyE202RiCbu8BAECzwXf2DhwOiIBQlpA1b&og0A1AibTbBCINwzX24liNjBfwpQCyECbDI2R6&o0ICjiy2bACzBDBUEfLDrpQwimbR10w2lWXAIF&o4IjEQBiIbD0AwBy2iS9fzvR1XwC2iCwplbPAI&oYkdfAB01bSBFiIDy2z2XQpCwIBjARjECBwbil,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/ogmIBiwDI2yQlACFEAjwzpiER01QbBfbwjAlX2/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1272&bt=636&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=aGk2OmdmOmY4NWk2aTlnPEBpam1oN2o5cnVwcDMzZzczNEAyYjQwMjMxNjMxYTUwXmAuYSNuXzVvMmRja2VgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712090416&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=eaa720f34421add2017792964ad4b7da&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
7,oALqkUsoiCdQDAFj5HJI7DyXHLI6Affc3fQDEg,5,1031783&927146&524984&297914&204964,oALqkUsoiCdQDAFj5HJI7DyXHLI6Affc3fQDEg&ossHfHDkFxdiLQsemjJgACJIo56QIkUfALD7JE&ooMWw9wEi4BAypRiwNAd6yIf840BICFbIBEuvE&oYfL6JjEImDL6sfEdQFfiQPDHgr7IAC5DdGkoA&oQ6WidALfAQyafehEDjL7BCgIEHkFI7JoDlIJ5,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oALqkUsoiCdQDAFj5HJI7DyXHLI6Affc3fQDEg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2014&bt=1007&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZztkZjgzOTlmNjZlNWQ4NEBpM2huOnY5cnI0cDMzZzczNEAxX15hX18vXzYxLV40MmFjYSNsNmNuMmRrc19gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712090360&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=2be6f63d98b5fed9adc629d77db0fca3&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
8,ooheH2eGkQpqj3LIOEesGsiwzCJAsIx1LgGLIA,13,2495568&2148353&1623262&1359940&1067935&747715,oEZbxDxCIETAOp3f67IQvbBy9rWiiBSMAwhMi7&ooheH2eGkQpqj3LIOEesGsiwzCJAsIx1LgGLIA&oUvJZAbmMpQ2biEyL7ifBAwNxi6lMWITICB6CS&oUZbxCECIETAIpgf6XIQvbByKOWiiBSMAw0Mi7&oMsQMEBSZ6yAWPuivCi2Ai7CIBEBTwMpbIfrbx&ogASIMBi7HMfMBtbZTFvptSiQW6iICybBEwAEx,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/ooheH2eGkQpqj3LIOEesGsiwzCJAsIx1LgGLIA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=4196&bt=2098&cs=0&ds=6&ft=4KJMyMzm8Zmo0XXQ1-4jVEEkdpWrKsd.&mime_type=video_mp4&qs=0&rc=NzpnOjQ5OjVlZzQ5OTdkNEBpM2tndXQ5cjxycTMzZzczNEBjYi1fXjAwXi8xYDYtMF8xYSNfa282MmRjYGBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712090368&l=2024033120391445181E6590B7235D5753&ply_type=2&policy=2&signature=8e4b57f1585a0b2ecad843caf8fce082&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711917554.605376,1711917554.606263,1711917555.617843,1711917555.6340852
9,ocEDl6QfQy17EBuPhs5Dd0GAEzS5rtMIIgfFRw,60,1736722&1678870&1107194&843330&835052&583486,oULfQrbIAGIEpACZcx7CeLc8zHk4rIRej31lbg&ocEDl6QfQy17EBuPhs5Dd0GAEzS5rtMIIgfFRw&oQ5AnqtGHMi1WklXfxXfAziQjA5qApr8IfCL73&oYAUHIfLkIrAYjYRz4veCLE1uGqe83g828SLjA&o47EI6QXPF0uABSBylf1R0gG5EILfDtDErw5I6&ocelXGrAHgCIapAe8pGbkLIy1QIzehjI3LcInR,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ocEDl6QfQy17EBuPhs5Dd0GAEzS5rtMIIgfFRw/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3278&bt=1639&cs=0&ds=6&ft=4KJMyMzm8Zmo0IXQ1-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=O2hmNWVoNjw2OjtpOzU1ZkBpM2dlbHk5cnd1cTMzZzczNEAuYTAzNTUvXjIxLl82MDMtYSNrNjM0MmRjcGlgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712090417&l=20240331203917D59ED88871923B5D3AA5&ply_type=2&policy=2&signature=22c24d7a0a8af2135fd8f5f73a0c938f&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711917557.065207,1711917557.0669172,1711917557.968661,1711917557.969506
