seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,oYfI0eLhGgGdZ7AAvouAePIhLFRxjQbHkMoPAC,9,2743164&2455679&1281900&1259246&932949&820612,oYfI0eLhGgGdZ7AAvouAePIhLFRxjQbHkMoPAC&okkChSPAePbGzh7xALZjeZevIGHLFAILAgoR06&oYF3YCZlwAr6DDsgE9nnPRgBSlCfIotfEwUgQD&osBEgEeQR32IlAgfCdqwjnU4TB4DEBFsS4XDY9&ocTlwQD9IDBEBTeDfEAgEEFF2nCs7qB3XE4RSg&o4fsFBUDnlTqIgERg29F4EoDBpPqwERC3eSAPD,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oYfI0eLhGgGdZ7AAvouAePIhLFRxjQbHkMoPAC/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=5356&bt=2678&cs=0&ds=6&ft=4KJMyMzm8Zmo0fsj1-4jVBuZdpWrKsd.&mime_type=video_mp4&qs=0&rc=OjM0N2Y7ZGVnOzs5ZDNlO0BpMzR1N3g5cnU6cTMzZzczNEBjY2JjXzU0NTQxLWM0LS5jYSNpbnJwMmQ0by5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074196&l=2024033116094675C8B528619DAE5188BB&ply_type=2&policy=2&signature=a8d20e4fad818e8f23b3c97215f96bc8&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711901386.4158669,1711901386.4167092,1711901387.520942,1711901387.525352
1,ocN0NluufAB3QKD5ENQzPzEgfFRozshJxSEIDH,60,1821212&1355123&1034763&858319&710124&508891,oUQzIgOIGNfzASGWmLeVeaCVOfpRzIaAIiM6FD&ocN0NluufAB3QKD5ENQzPzEgfFRozshJxSEIDH&oolEHfzzxg7RDpHEQf0EA5BSNDsFIPkKlNPzbi&oweWGiGeRCGzfzVIyNLfzQUkOOMVIAFpMagImA&osPKDffDSI0ORxlEzNtHWsNzzBNA7EPGFQF5Eg&oQHPnQSDlBN0NkxFEDpzjAIzEDfzfs2gKREM25,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/ocN0NluufAB3QKD5ENQzPzEgfFRozshJxSEIDH/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2646&bt=1323&cs=0&ds=6&ft=4KJMyMzm8Zmo0fsj1-4jVBuZdpWrKsd.&mime_type=video_mp4&qs=0&rc=aGc5OzQ7Zjw0NzhmOThmZ0Bpamd5c3Q5cnhtcDMzZzczNEBfXi40YGEtNmAxLzUzYzAzYSMwL19gMmRjNG1gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712074247&l=2024033116094675C8B528619DAE5188BB&ply_type=2&policy=2&signature=068d9d3aa4391e4b07c9ba530afa3cec&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711901386.4158669,1711901386.4167092,1711901387.520942,1711901387.525352
2,ooGJDXeF4GzIJeLWufIgn4AA67Ae8FCnUOTQ7G,15,941874&912663&553433&510151&449538&420824,oQyJGTFAtRAefGaTNzEzw8Ae4AQFwFMeXg0W1W&ooGJDXeF4GzIJeLWufIgn4AA67Ae8FCnUOTQ7G&o85fJBTIWAJeGzXe9AQe8EATIA4X6CGFhF9GLF&o8jIAEduAAzHG4CfWLeJeXGFW2TieIJGuv6FO9&oMXTDCfdEyeeFG4JIFF9TGAbNWLtlAeJEA6GzI&o8QAeWFXZTn7zLGrC82G7AYJAfGeAF4C6IdJIe,https://v16-webapp-prime.us.tiktok.com/video/tos/alisg/tos-alisg-pve-0037/ooGJDXeF4GzIJeLWufIgn4AA67Ae8FCnUOTQ7G/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1782&bt=891&cs=0&ds=6&ft=4KJMyMzm8Zmo0fsj1-4jVBuZdpWrKsd.&mime_type=video_mp4&qs=0&rc=aGY6OjVlOmVoZWU4aDc3N0BpM2l0M2o5cnJ5cTMzODgzNEBfYmEuNjUvNWAxL15hM2MwYSNzMGdrMmRrYDZgLS1kLy1zcw%3D%3D&btag=e00088000&expire=1712074202&l=2024033116094675C8B528619DAE5188BB&ply_type=2&policy=2&signature=ca786ae867a8f26fddd759abe8d08d54&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,2&20&24&14&28&25, 1711901386.4158669,1711901386.4167092,1711901387.520942,1711901387.525352
3,oMTYeLEiIIOQA4eLSeeeMJPAMBshuGQBcgFrKO,65,580206&420453&306306&279060&270266&204373,oMTYeLEiIIOQA4eLSeeeMJPAMBshuGQBcgFrKO&okSEQLGeMiceqREPI5IgseKAPALAyYNBeueY8t&oce8PEeIwsMBgIZQ8KLuAnuGAMQeEcVneSeiLY&oIqeQQMEPGArTsELVSLYcMuguiLAeKdeIBeyeI&owKOAT8eLLeIEiSAguIGYyeYRZnQAeBscQePLM&ooWQQITEAAe4cEYeMLesSuGKHDenMIiLrLBPge,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oMTYeLEiIIOQA4eLSeeeMJPAMBshuGQBcgFrKO/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1132&bt=566&cs=0&ds=6&ft=4KJMyMzm8Zmo0Dsj1-4jV4IWdpWrKsd.&mime_type=video_mp4&qs=0&rc=Mzw2M2c8OTU6Ojc4OzU5NkBpM3k0bHA5cms3cTMzZzczNEAyNV4wNjQyX14xMC1iNV4xYSMwMmwtMmRza2NgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712074255&l=202403311609497259BFA2400C8D52817A&ply_type=2&policy=2&signature=8fb03f5f2e1ac5daf5a80f4c9c102ec9&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711901388.957419,1711901388.957978,1711901390.123659,1711901390.124872
4,o4eGQRK4eaVd2VSxYPFiIfb9AgL9OXAfY5GI0I,61,1753352&1497442&1226848&1012227&826127&617492,okfXFxBZIVZL5mfAHAEQYe4jGKSbGOgaReaIYI&o4eGQRK4eaVd2VSxYPFiIfb9AgL9OXAfY5GI0I&oM8KNAIGXFeaYe5LIjwfPAg4RObjeYGASGRd9V&oobOIOAL5QwaOGgA4SRYYKIfiefVGeWFINxXSx&o8QCxX5RsFfM8AGSabIAuLIOK9G1YYgk4eeVeI&o4IJIInefeYQbRRGV9YX4gLKeALGSGAOA5atxF,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/o4eGQRK4eaVd2VSxYPFiIfb9AgL9OXAfY5GI0I/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2924&bt=1462&cs=0&ds=6&ft=4KJMyMzm8Zmo0Dsj1-4jV4IWdpWrKsd.&mime_type=video_mp4&qs=0&rc=O2dlPGRnNzM5OzdoaWc4O0BpanB1NHA5cmxpcTMzZzczNEBfXzI2NjIvXy4xYi5gNTIzYSM0cDFrMmRrZmBgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712074251&l=202403311609497259BFA2400C8D52817A&ply_type=2&policy=2&signature=cdd11f21a2007971d121955563559005&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711901388.957419,1711901388.957978,1711901390.123659,1711901390.124872
5,osGCZILgkI1jXLnIHkWeuNfi3qCeCjAhMLQLAH,10,970429&692722&470671&424374&419897&291095,osGCZILgkI1jXLnIHkWeuNfi3qCeCjAhMLQLAH&ok2SHfIQgHALXyjeCfLkZVsq8WkNFIAhGCLj2L&oQFyzUdlxAg1DDLJElhlPRaBSYGfEoGREwfgID&o81EgNxIwGnaDElfhFlLEVEZGDlzfPADRIByjS&ogRjIDLGAl8EDIxlflSFEy1xIBhf2TFGFgDaEw&o8IjNeIMLGNCj3GqCAeeLhAkLkQHihRXHLjL1I,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/osGCZILgkI1jXLnIHkWeuNfi3qCeCjAhMLQLAH/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1894&bt=947&cs=0&ds=6&ft=4KJMyMzm8Zmo0Dsj1-4jV4IWdpWrKsd.&mime_type=video_mp4&qs=0&rc=Z2Q7M2ZnOjs0Zjg1NmU7aUBpajRnN2w5cjU4cTMzZzczNEBgL2BeL2BhNjIxYmJiYzJhYSNzaTFwMmRzbTBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074200&l=202403311609497259BFA2400C8D52817A&ply_type=2&policy=2&signature=1dbea53ac6a97db7df80aefec00454e0&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&2&14&28&24&25, 1711901388.957419,1711901388.957978,1711901390.123659,1711901390.124872
6,ogCG6KEIQOAXJQvfd9FIvtfsS5eprRAqDFeGgs,5,1607653&1386164&874282&774082&677616&532260,ogCG6KEIQOAXJQvfd9FIvtfsS5eprRAqDFeGgs&owPITsZKgUZRIKvF0BeGeOkG8TAL6neAKpeXQ7&oI3Ep9s6QqsRI9vF6vqDfOSGeJAFSeeAVGsXId&o05ED7ESYEAfdH7O2v9vvfIEJgi2VBBblI0Rti&ool7X2d9E8fJB2VEIEGv6DAJHRi6RSfO0g0Bvi&o4lWdFiEIDglEJ7fO9iSvin2J5v0qEAVBBfRF2,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/ogCG6KEIQOAXJQvfd9FIvtfsS5eprRAqDFeGgs/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3138&bt=1569&cs=0&ds=6&ft=4KJMyMzm8Zmo0msj1-4jVtBrdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZWk4aTRpMzdmO2Q0OGc7OEBpandtbXA5cjV5cTMzZzczNEAvYDNiXi1fNl4xNjIuYDIwYSMxYGpeMmRjY2tgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712074210&l=202403311610043898E807D6E01052323F&ply_type=2&policy=2&signature=fc597327fa168e7169dd83cbf3baff31&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711901404.348628,1711901404.349758,1711901405.326856,1711901405.327457
7,oYgLBgfDJIfCR0lElOAWv07zTBtAKEoUFEVrEQ,11,197207&169760&122257&108664&97027,oYgLBgfDJIfCR0lElOAWv07zTBtAKEoUFEVrEQ&oQpIg5pQKBcOCBLsXLnXIQIdTGfveYA2jHCRfS&oIQMLpKe9DXnICYUqeRCPTsAQeSamtvgug8Xjd&ocUTw5MXgXARQeCpYJQSP7IjCene8jDMLuPdgt&oQYRQSsKXGAtOXQd4nLfCjLEfIpg2CMpIBeITI,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0068/oYgLBgfDJIfCR0lElOAWv07zTBtAKEoUFEVrEQ/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=384&bt=192&cs=0&ds=6&ft=4KJMyMzm8Zmo0qsj1-4jVrXZdpWrKsd.&mime_type=video_mp4&qs=0&rc=Mzo6OmU5PDc6OGllPDc6aUBpM3U2bHk5cmRtcTMzNzczM0AtMi1fLTJeXzMxMmBgNGNeYSNfNnBmMmRzaDZgLS1kMTZzcw%3D%3D&btag=e00088000&expire=1712074218&l=202403311610063263FA9BEFC3A35151C5&ply_type=2&policy=2&signature=c6c7686d301ec23a1f316c1f5090cfed&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&14&24&28&25, 1711901406.368275,1711901406.3690162,1711901407.346638,1711901407.3477361
8,oQl6DfuXEExUEXKfBQlgFBGqIdRiATcPjBtCbk,11,1713773&1633624&1035689&945474&774365&766316,oQl6DfuXEExUEXKfBQlgFBGqIdRiATcPjBtCbk&oAAZDIBLoIvgEjTIKeUeCLV1XG0fCFQc8B52MA&oAfqRiPhlIUBEZBuKB6FjLlEEbDQBoAcXgfMXG&o4l6DfuXEEGUEcKfBQlgFBGqIARiARcPbBWBbo&oEUB6UGAribDQBuZQBCRXXflEfBFqKElgIPEcr&ow8LeIC5QmjofKCvyecCqIF2LgDKMGJb1gIAAD,https://v16-webapp-prime.us.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/oQl6DfuXEExUEXKfBQlgFBGqIdRiATcPjBtCbk/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3346&bt=1673&cs=0&ds=6&ft=4KJMyMzm8Zmo0bsj1-4jVYhzdpWrKsd.&mime_type=video_mp4&qs=0&rc=N2c7OTtlaTNmZTc3OWllN0BpanlwO3E5cm81cTMzODczNEAyYi5hYjBeNS4xMTYtMGAwYSM0cG0tMmRzZmlgLS1kMTFzcw%3D%3D&btag=e00088000&expire=1712074220&l=202403311610089308BAA450EC6E5A80A5&ply_type=2&policy=2&signature=f3afbf04eee853729df9fa331e949b3a&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&2&24&14&25&28, 1711901408.493717,1711901408.494668,1711901409.495284,1711901409.4966998
9,oQeEQV6TkDAg5R2Lk3FiERlgOEcAyB60IEfNmE,175,2233550&1301824&1089403&881893&691449&497806,oQHm6EAIEkDA0VgF3TBRul7EidTEREhmQexyfc&oQeEQV6TkDAg5R2Lk3FiERlgOEcAyB60IEfNmE&ooTEEABdJ1iRJxZiodOZdVAJQJTLBNixPWIzO&oo30VQkIDEBE3BdyAEfHAkgecFTRklEEai6R9T&o8lDFBET3EifybETQgcvEf6kVc07lIAR7EcRAd&oIJdGOJAANEBiBRPrKxZ9EixVZivTodbIccQP,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/oQeEQV6TkDAg5R2Lk3FiERlgOEcAyB60IEfNmE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2542&bt=1271&cs=0&ds=6&ft=4KJMyMzm8Zmo0bsj1-4jVYhzdpWrKsd.&mime_type=video_mp4&qs=0&rc=PGk7OWg4aTloNjNnZDNoZUBpanM7dGs5cjxxcTMzaTczNEBgYmIwYC0tNV8xY2MxYS4vYSNicDExMmQ0LzZgLS1kMTJzcw%3D%3D&btag=e00090000&expire=1712074384&l=202403311610089308BAA450EC6E5A80A5&ply_type=2&policy=2&signature=c9d3c049918bb2f10f9434e63feaf2db&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711901408.493717,1711901408.494668,1711901409.495284,1711901409.4966998
