seqnum, uri, duration, bitrate_string, uri_hash_string, download_addr, gear_name_string, quality_type_string, request_time_start, request_time_start, request_time_stop, request_time_stop
0,v12044gd0000cmtdusnog65i6j215lhg,6,1057436&1004259&749093&591536&516857&361597,v12044gd0000cmtdusnog65i6j215lhg&v12044gd0000cmtdusnog65i6j215lhg&v12044gd0000cmtdusnog65i6j215lhg&v12044gd0000cmtdusnog65i6j215lhg&v12044gd0000cmtdusnog65i6j215lhg&v12044gd0000cmtdusnog65i6j215lhg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oEvyUSIyCTB3Q6yiS4ifcInTBjHMEwAyW1NpNA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1960&bt=980&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=Njk3OTkzOTY4ZWRkODVmNEBpam80bWw5cnZncDMzZzczNEAtYmBhL2MwX2ExMWNeYTQzYSNlMi8zMmRrcnFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711760631&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=9f43e8b7d0e3685576c25a00050ad6ef&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
1,v12044gd0000cnf4jf7og65is3ucs73g,65,1377291&1208073&926454&676968&668035&498910,v12044gd0000cnf4jf7og65is3ucs73g&v12044gd0000cnf4jf7og65is3ucs73g&v12044gd0000cnf4jf7og65is3ucs73g&v12044gd0000cnf4jf7og65is3ucs73g&v12044gd0000cnf4jf7og65is3ucs73g&v12044gd0000cnf4jf7og65is3ucs73g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oceLBcjWIAGvmeGIhSLN5Q1zHOSfIACLJOgkgA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2358&bt=1179&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=NmY8OjplaDRoPDg2aWZpN0BpajpmNmw5cmk3cTMzZzczNEAzYl4yMmMxNTYxMmE2XjEvYSMwcHJwMmQ0Z2NgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711760690&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=d922ebbbb54fbe01352e422a7e0d15e8&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
2,v12044gd0000cn9bok7og65l5l63ur50,61,1488325&1275984&864002&762892&709854&541291,v12044gd0000cn9bok7og65l5l63ur50&v12044gd0000cn9bok7og65l5l63ur50&v12044gd0000cn9bok7og65l5l63ur50&v12044gd0000cn9bok7og65l5l63ur50&v12044gd0000cn9bok7og65l5l63ur50&v12044gd0000cn9bok7og65l5l63ur50,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oYejgIitoUhA9rTKs4C3ReDeAALuHLAXp9Gk2I/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2906&bt=1453&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=aGhnaTc2ZmRmOjw8OWdnNkBpM3U2b285cm5lcTMzZzczNEBiL18xMi1hNS0xNi9fNl5iYSMycjMyMmQ0bDZgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711760686&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=5aa532fefc815039d58f0ebebc036a76&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
3,v15044gf0000cmj1e7nog65rh3mivccg,61,1275871&893263&755316&522890&479906&354227,v15044gf0000cmj1e7nog65rh3mivccg&v15044gf0000cmj1e7nog65rh3mivccg&v15044gf0000cmj1e7nog65rh3mivccg&v15044gf0000cmj1e7nog65rh3mivccg&v15044gf0000cmj1e7nog65rh3mivccg&v15044gf0000cmj1e7nog65rh3mivccg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/os7AxI8QfATVL9kqRRC4jeAfa2gaXlIIMc6CaY/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1744&bt=872&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=MzZoOzk8Z2Y8ZjQ2NDQ5aEBpamZsNnU5cjo0cDMzaTczNEAzYC4vL19eNTMxXzFhYS42YSNgc2plMmRrYmdgLS1kMTJzcw%3D%3D&btag=e00090000&expire=1711760686&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=fecfbf597897dd24add21e0a840b1f45&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
4,v12044gd0000cntce5fog65v7i1v3jbg,67,1377381&1193238&1056195&851810&627557&453958,v12044gd0000cntce5fog65v7i1v3jbg&v12044gd0000cntce5fog65v7i1v3jbg&v12044gd0000cntce5fog65v7i1v3jbg&v12044gd0000cntce5fog65v7i1v3jbg&v12044gd0000cntce5fog65v7i1v3jbg&v12044gd0000cntce5fog65v7i1v3jbg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oALokH6PVCzIsAFjfHxEIgYQJeIPAnfr4c2DEX/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2330&bt=1165&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=NDo3NWk0ZTZpaWhmOThmNEBpam15bHk5cjhmcTMzZzczNEBeMWExXjMxNi0xY2JhMjIvYSNfMC40MmRjYnFgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711760692&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=8c34b94547ebe71629a2bc012c6c3250&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
5,v12044gd0000cnfl5qnog65ip6n0rkgg,15,1242461&1227380&841007&702707&592496&523923,v12044gd0000cnfl5qnog65ip6n0rkgg&v12044gd0000cnfl5qnog65ip6n0rkgg&v12044gd0000cnfl5qnog65ip6n0rkgg&v12044gd0000cnfl5qnog65ip6n0rkgg&v12044gd0000cnfl5qnog65ip6n0rkgg&v12044gd0000cnfl5qnog65ip6n0rkgg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/o8QfIgDoRUw3AsDlkFOxfpU1CLlEqEEgSb1xB2/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2396&bt=1198&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=Z2VpZmdkNzdoNzo3Zmk8Z0Bpam4zOWw5cnRvcTMzZzczNEBiMDReYy8tNmMxXmBgNV8vYSNkb2ttMmRrMmNgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711760640&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=0c64559089cdba4c83c34bce1207e9ab&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
6,v12044gd0000cn3qo07og65v8dsg1i7g,5,756639&561351&529420&417759&335894&256373,v12044gd0000cn3qo07og65v8dsg1i7g&v12044gd0000cn3qo07og65v8dsg1i7g&v12044gd0000cn3qo07og65v8dsg1i7g&v12044gd0000cn3qo07og65v8dsg1i7g&v12044gd0000cn3qo07og65v8dsg1i7g&v12044gd0000cn3qo07og65v8dsg1i7g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oAR3TDAkAfEEyGdlP6SFEwAxIB3fgWyHGgDrEQ/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1096&bt=548&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=ZjMzOGk6Z2UzNTs1N2g6aEBpamxqZ3k5cjN0cTMzZzczNEAwYDZfXmJfNS4xLmI0MTQ1YSM0LnA1MmQ0bDBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711760630&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=bd59d917bf3543180931724abc96fbe4&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
7,v12044gd0000cncigmfog65h28p8ab4g,9,1321511&1075861&716912&715904&582751&533506,v12044gd0000cncigmfog65h28p8ab4g&v12044gd0000cncigmfog65h28p8ab4g&v12044gd0000cncigmfog65h28p8ab4g&v12044gd0000cncigmfog65h28p8ab4g&v12044gd0000cncigmfog65h28p8ab4g&v12044gd0000cncigmfog65h28p8ab4g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ooTgWDfEYg2dlZSSJIBhRKAfCGQIFUE8DiOSUy/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2580&bt=1290&cs=0&ds=6&ft=4KJMyMzm8Zmo0MKFF-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=OjVoaWhmZGVoZzRlOzVkPEBpamU7O2s5cnBscTMzZzczNEBeMWEtMGEzNi0xM182MjZeYSMxXm0vMmRjZGBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711760634&l=20240328010343C59AF42A94AF870A4A45&ply_type=2&policy=2&signature=2a24171a0ef85c3b38d2a3ef03ec3273&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1711587823.0761511, 1711587823.076454, 1711587825.442572, 1711587825.464879
8,v15044gf0000cns579vog65ubflc19q0,454,1572459&1553013&1068779&858858&698987&464301,v15044gf0000cns579vog65ubflc19q0&v15044gf0000cns579vog65ubflc19q0&v15044gf0000cns579vog65ubflc19q0&v15044gf0000cns579vog65ubflc19q0&v15044gf0000cns579vog65ubflc19q0&v15044gf0000cns579vog65ubflc19q0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c001-tx2/ogptJDOI0UFFIsnfIA84eqLVVnjAeAr8EErCRH/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3032&bt=1516&cs=0&ds=6&ft=4KJMyMzm8Zmo0eKFF-4jVh.rdpWrKsd.&mime_type=video_mp4&qs=0&rc=NDU4Zmc8NGk1aWllZDQ4M0BpMzxmaXg5cjw4cTMzaTczNEA2LjMxX2JiNi4xMTJfYWNgYSNuLmlfMmRzNHBgLS1kMTJzcw%3D%3D&btag=e000a0000&expire=1711761080&l=20240328010345086C7C61BB70070A2174&ply_type=2&policy=2&signature=6d3a937219b3f93fb00eed818529c641&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711587825.870304, 1711587825.871115, 1711587827.1647592, 1711587827.165066
9,v12044gd0000cn7umo7og65oiq7881vg,60,1340173&1306811&889368&750913&735203&561641,v12044gd0000cn7umo7og65oiq7881vg&v12044gd0000cn7umo7og65oiq7881vg&v12044gd0000cn7umo7og65oiq7881vg&v12044gd0000cn7umo7og65oiq7881vg&v12044gd0000cn7umo7og65oiq7881vg&v12044gd0000cn7umo7og65oiq7881vg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oANgA5XeeHkBzPgfHBMAibnEjtLA2CcIM9QQ8Y/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2616&bt=1308&cs=0&ds=6&ft=4KJMyMzm8Zmo0eKFF-4jVh.rdpWrKsd.&mime_type=video_mp4&qs=0&rc=ODlpOWczNjVlZDs5NDQzZ0BpajQ7dHI5cnJ4cTMzZzczNEAwLzBfLi5fXi8xM18wNTBhYSNzNTRmMmQ0ajRgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711760686&l=20240328010345086C7C61BB70070A2174&ply_type=2&policy=2&signature=1452a1251cf21cb037dfee693533bb05&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711587825.870304, 1711587825.871115, 1711587827.1647592, 1711587827.165066
