seqnum, uri, duration, bitrate_string, uri_hash_string, download_addr, gear_name_string, quality_type_string, request_time_start, request_time_start, request_time_stop, request_time_stop
0,v12044gd0000cn91p87og65is43odss0,62,508763&372864&332923&296130&204058&163188,v12044gd0000cn91p87og65is43odss0&v12044gd0000cn91p87og65is43odss0&v12044gd0000cn91p87og65is43odss0&v12044gd0000cn91p87og65is43odss0&v12044gd0000cn91p87og65is43odss0&v12044gd0000cn91p87og65is43odss0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oo5SRhwElQSEEeDlHB0FIbyEI8DgwsANggf7Ug/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=650&bt=325&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZWk1ODxkO2hkaTM3aTRoZEBpM3ZyN2w5cjs0cTMzZzczNEBiXzNeYWIuNl8xLTQvXi1fYSNwYTBwMmQ0bTZgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711751716&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=24b84d730d526b78948a2f04e083a329&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&normal_540_0&adapt_540_1&lower_540_0&lowest_540_0,2&14&20&28&24&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
1,v12044gd0000cnj092nog65thjvrg5i0,125,790080&625112&445223&412921&366339&306393,v12044gd0000cnj092nog65thjvrg5i0&v12044gd0000cnj092nog65thjvrg5i0&v12044gd0000cnj092nog65thjvrg5i0&v12044gd0000cnj092nog65thjvrg5i0&v12044gd0000cnj092nog65thjvrg5i0&v12044gd0000cnj092nog65thjvrg5i0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/osm4FLXIjEMAdk2e2TIQfeGL02kLIHVACAlkBz/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1542&bt=771&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=OTUzOmg1ZTY6ZjozZDM1ZEBpMzh1bXc5cjUzcTMzZzczNEAwMC5hMC1eNWAxNF8uNGMwYSNmZHNlMmRrNmdgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711751779&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=c5f4da07d3b7b5cb377c3b296d2687ae&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
2,v12044gd0000cn0jqjnog65mn1739210,49,1940497&1704588&931477&881759&751040&606742,v12044gd0000cn0jqjnog65mn1739210&v12044gd0000cn0jqjnog65mn1739210&v12044gd0000cn0jqjnog65mn1739210&v12044gd0000cn0jqjnog65mn1739210&v12044gd0000cn0jqjnog65mn1739210&v12044gd0000cn0jqjnog65mn1739210,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oUEBRTEGlQSTEeDtPBwFWj1EIxDgcNApOgf6YJ/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3328&bt=1664&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=NDU0ZjdkPDNlNjdpZDQ0NUBpMzU2NHA5cm1tcTMzZzczNEAwNTA0Xy5fX2ExLWJfYDMxYSMuNjRrMmRrbi1gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711751703&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=1332537f8cfdd7e7a5985edea3995021&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
3,v12044gd0000cmdcffvog65l1gvbaejg,60,2296892&2284006&1221357&1186241&1010899&877558,v12044gd0000cmdcffvog65l1gvbaejg&v12044gd0000cmdcffvog65l1gvbaejg&v12044gd0000cmdcffvog65l1gvbaejg&v12044gd0000cmdcffvog65l1gvbaejg&v12044gd0000cmdcffvog65l1gvbaejg&v12044gd0000cmdcffvog65l1gvbaejg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oYufe1QnIiO6mpQHYyLIaBDCNETDk1afAADiyj/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=4460&bt=2230&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=O2k2NGk4ZTY6Zzk1NWZpNUBpamhlam85cmlmcDMzZzczNEA1YjQ1MTQvXmIxNl8uMGExYSNnXnMuMmRzY2FgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711751714&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=b1eb8f507fadc1c0450dc6d7c59d9d52&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,2&20&24&14&28&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
4,v12044gd0000cnid6ifog65g1rqb1hu0,19,1518896&1017435&728343&606329&580790&465071,v12044gd0000cnid6ifog65g1rqb1hu0&v12044gd0000cnid6ifog65g1rqb1hu0&v12044gd0000cnid6ifog65g1rqb1hu0&v12044gd0000cnid6ifog65g1rqb1hu0&v12044gd0000cnid6ifog65g1rqb1hu0&v12044gd0000cnid6ifog65g1rqb1hu0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/oQgmIp8DkBA10vCvYmiwBIyQ7CwwxAK8ESfcki/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1986&bt=993&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZGc7aDdpZGY4M2k6aGQzZkBpM2tldWo5cmxncTMzZzczNEA2XjUvNS4yX2MxYTYvNmFhYSNyLm4uMmRjM2ZgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711751673&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=38627ca0e9f9fcb8b9ad1b7fb20fb490&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
5,v15044gf0000cnbk6enog65v74afv160,159,1781771&1084349&872293&732284&371860&265232,v15044gf0000cnbk6enog65v74afv160&v15044gf0000cnbk6enog65v74afv160&v15044gf0000cnbk6enog65v74afv160&v15044gf0000cnbk6enog65v74afv160&v15044gf0000cnbk6enog65v74afv160&v15044gf0000cnbk6enog65v74afv160,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c003-tx2/owCu15ZI2FjPgI7QfCLLAiOGAYq7bIuMeorIf8/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1430&bt=715&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZTw8OTc3ZWdpNTlkO2U6OUBpMzRpN3k5cmhucTMzaTczNEA0LjFjNDAwNi4xLV81MC5iYSMzc140MmRrM19gLS1kMTJzcw%3D%3D&btag=e00090000&expire=1711751813&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=95d575de8ab741c60dd6e67c6a8f5811&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&normal_540_0&lower_540_0&lowest_540_0,2&14&28&20&24&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
6,v12044gd0000cmk4ghvog65r6g8k7o90,5,861460&487146&410094&367890&287295,v12044gd0000cmk4ghvog65r6g8k7o90&v12044gd0000cmk4ghvog65r6g8k7o90&v12044gd0000cmk4ghvog65r6g8k7o90&v12044gd0000cmk4ghvog65r6g8k7o90&v12044gd0000cmk4ghvog65r6g8k7o90,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oUADRewQLalIfBRT2lDEHQHySqkREhFgvdKEkC/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1682&bt=841&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZDlpNTs8MzxmZzwzZ2dkZUBpM3JuanU5cms3cDMzZzczNEBgNTQtMzUuNTIxXi5gYmM1YSM2NDUzMmRzZGhgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711751659&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=54179add4d9fba409fdd02e94ffabcfb&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&14&24&28&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
7,v12044gd0000cncdr3nog65tq48eksvg,62,2013503&1982304&1292478&1029659&924836&617630,v12044gd0000cncdr3nog65tq48eksvg&v12044gd0000cncdr3nog65tq48eksvg&v12044gd0000cncdr3nog65tq48eksvg&v12044gd0000cncdr3nog65tq48eksvg&v12044gd0000cncdr3nog65tq48eksvg&v12044gd0000cncdr3nog65tq48eksvg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/owedmzwfbLEnQAI43OpLRIHGCxdesIjYs3kAgH/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3870&bt=1935&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZDw0ZDdnOWY1PDc4ZDxpZ0BpanZoN3c5cjZncTMzZzczNEAwYGIuMjMvXzIxL2JeMDAuYSNzaDVuMmRrb2BgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711751716&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=11ed664279c111ff3e0f87b0da618601&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
8,v15044gf0000cnahicnog65sigkrspbg,65,3003245&2777587&1510811&1218049&1205089&726112,v15044gf0000cnahicnog65sigkrspbg&v15044gf0000cnahicnog65sigkrspbg&v15044gf0000cnahicnog65sigkrspbg&v15044gf0000cnahicnog65sigkrspbg&v15044gf0000cnahicnog65sigkrspbg&v15044gf0000cnahicnog65sigkrspbg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/oQAQVFeyk1KKDHCXRfFBRUE5AVEYEHSEZlpNIX/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=5864&bt=2932&cs=0&ds=6&ft=4KJMyMzm8Zmo0kGCF-4jVinrdpWrKsd.&mime_type=video_mp4&qs=0&rc=NTVoNjtmPDY5Njw3Zjc6ZkBpanN1anY5cmZrcTMzaTczNEA0M15jXzIwNi4xX2JiXy0xYSNfcGhmMmRrZl5gLS1kMTJzcw%3D%3D&btag=e00090000&expire=1711751719&l=20240327223413C0A551D3C5BD6C045C14&ply_type=2&policy=2&signature=472bd7a76f3a9f2ff5f877822c3dfb60&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711578853.264073, 1711578853.264371, 1711578854.448287, 1711578854.465342
9,v12044gd0000cn23s37og65t546ovkh0,62,3494732&2487679&2153427&1659562&1256594&837733,v12044gd0000cn23s37og65t546ovkh0&v12044gd0000cn23s37og65t546ovkh0&v12044gd0000cn23s37og65t546ovkh0&v12044gd0000cn23s37og65t546ovkh0&v12044gd0000cn23s37og65t546ovkh0&v12044gd0000cn23s37og65t546ovkh0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/owxCB4DpgEAh0SPQPgPeEPQIiwi9KABjyI2Ici/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=4858&bt=2429&cs=0&ds=6&ft=4KJMyMzm8Zmo0QGCF-4jVmubdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZmU0OmlnM2c8O2dpZjQ6aEBpM25yN3c5cjY2cTMzZzczNEBjLjIvMzYwNmIxYTVeL2EuYSNlczMyMmQ0cC9gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711751719&l=20240327223415F4E4BAC43D86EE045DD7&ply_type=2&policy=2&signature=1d0d50c8301e2c3e9e1988eb4fc37bd6&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711578855.827101, 1711578855.827723, 1711578857.758574, 1711578857.759936
