seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,oIflzPRTECDxkHZEhoFGTInhBZBfEQBv62QJSA,17,791228&726114&441275&420884&321892&292768,oIflzPRTECDxkHZEhoFGTInhBZBfEQBv62QJSA&oIzUIySj9Iv0LmMfCCgWsjenQ8RQLnQCegM9PA&okZx2bEEIBQlTxxffoFJHgDPZhGkAEASDB6ROv&oUgWPLfI0C0engj89hQAGWQCMRMEZj22L8kneS&okhPIZFaZfJTY2NHBKDAEGxvRSlQoBDEg6Ekf0&ogIQCnQgSpAWyQ0ofnjs9j8eGMMYCCHIfT8LLH,https://v16-webapp-prime.us.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c003/oIflzPRTECDxkHZEhoFGTInhBZBfEQBv62QJSA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1544&bt=772&cs=0&ds=6&ft=4KJMyMzm8Zmo0ELQ1-4jVDGkdpWrKsd.&mime_type=video_mp4&qs=0&rc=aTY4aGU1Zmk8ZTk4OjY1OkBpanBqcXE5cjd0cTMzNzczM0A2LWI1LTYtXjYxLzEuNi5eYSNgc3BoMmRzMDBgLS1kMTZzcw%3D%3D&btag=e00088000&expire=1712089949&l=202403312032110A31C4103340DF5CDE78&ply_type=2&policy=2&signature=359b3a7a29940d5382e8049af446eaeb&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&2&24&14&25&28, 1711917131.1892722,1711917131.189905,1711917132.301458,1711917132.31645
1,oURQPoItDDf5GSRNtAFHglIERAn9gQNfEHBlsv,62,1030083&594116&513267&465810&304453&239211,o0gbbGKQ30GZAi3AOFWXAeOMABIoeOWe8fmREd&ogXNlngAQEIGU7IDvflENDXB5IXtSR5fgARFnR&oURQPoItDDf5GSRNtAFHglIERAn9gQNfEHBlsv&oweMNtbAOAFIeiAjOMGQIXRWmgNKyfG9fLARna&o0QNGfAlXgIJRHOOfFmL1fKIRMGAj7AibAe9Pa&owmAAFIff7GHGwAQKjKiLebOeOIAuXRR8MgbaL,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oURQPoItDDf5GSRNtAFHglIERAn9gQNfEHBlsv/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1002&bt=501&cs=0&ds=6&ft=4KJMyMzm8Zmo0ELQ1-4jVDGkdpWrKsd.&mime_type=video_mp4&qs=0&rc=ODlmPDZoMzw8ZTw3ZmhnZUBpMzdmZ205cm1pcTMzZzczNEBgNTIuMmM2NWMxNV82YWJgYSMtZWhoMmRjZmdgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712089994&l=202403312032110A31C4103340DF5CDE78&ply_type=2&policy=2&signature=0e3d2d42804d1441c58e9eef18f9b1ee&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&normal_540_0&adapt_540_1&lower_540_0&lowest_540_0,2&14&20&28&24&25, 1711917131.1892722,1711917131.189905,1711917132.301458,1711917132.31645
2,ooO5jVA3LgksIGHkVCuWeeQQReMAGsADXA8Ear,159,779175&578351&549446&458883&335696&259429,ogT3jL7GuNrQIfeFHARbOkQ8Xe8AvWgMADkCAV&ooO5jVA3LgksIGHkVCuWeeQQReMAGsADXA8Ear&oUyArOVXAGQIVkkLjxACHDe4fQR7gAW55epu8M&oMAHB4c5dGLi8CmFkeMVGAXekuVjQQWAf08IBr&oYBPAqz3RFrGBEKQIlEDptfgEZFigofqDScLgR&ooSDgEX8En2QEsFglyzAfqKfBopRBLE3cIDNqg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ooO5jVA3LgksIGHkVCuWeeQQReMAGsADXA8Ear/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1128&bt=564&cs=0&ds=6&ft=4KJMyMzm8Zmo0ELQ1-4jVDGkdpWrKsd.&mime_type=video_mp4&qs=0&rc=NTs5ZGY0Ozs7MzU3aGY6ZkBpM214Z245cjVkcTMzZzczNEBgNDVeMjNeNV4xNmNeLy8yYSNkLl9kMmRzaGJgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712090091&l=202403312032110A31C4103340DF5CDE78&ply_type=2&policy=2&signature=a1dc7fe55829cc6d3448beeb1c37fa70&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711917131.1892722,1711917131.189905,1711917132.301458,1711917132.31645
3,o0esMH8QvAzjLV4kFQCZjcAhBCg7WfIJM4fN3M,7,733383&444141&355521&317676&256338&245338,o0esMH8QvAzjLV4kFQCZjcAhBCg7WfIJM4fN3M&ogZCoeGbAi3OAAphXy3KIrwqriIgvBDBEmhGQ4&oU8LfcjfIlMzfMUQ73WZVgqjH4VCQAC4NMVkFA&oYyev3DbEEZOA3ACIKxmaBATEIiz5pvouwXBri&os2KDFiEIBwyKqevobipm133OyrXtCAABAZID3&o8irEpFvZ0DIX4CIKbeyADirOm3BozwBA33PmA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/o0esMH8QvAzjLV4kFQCZjcAhBCg7WfIJM4fN3M/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1432&bt=716&cs=0&ds=6&ft=4KJMyMzm8Zmo0DLQ1-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=aDU8NTs4OjxmaDo2MzdnO0BpMzZ5ZHE5cmQ5cTMzZzczNEA1NGE2YF8wNjQxYDJiYzU2YSM0Yi8tMmRramdgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712089941&l=20240331203213F96A2CA35D243E5C20BA&ply_type=2&policy=2&signature=fc11e2febb61ebe0a232dbf980422cb0&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&2&24&14&25&28, 1711917133.682187,1711917133.6832352,1711917134.548327,1711917134.604975
4,ooAT6IKhLHERTmbDAGCdteeoLAOgkRejPIKqB8,30,1565372&1318573&955994&780250&622125&433288,o4Fl0QDeIDBEFThlfEAgEcqFQFQNEvpHKT1RSV&ooAT6IKhLHERTmbDAGCdteeoLAOgkRejPIKqB8&o4VQpDfEIg06lNvS1EBHReARDFIXFQEdDhPFUQ&oE0AvBEF5WDCRCgpH10eFaQDfhSQnlEEUQINFm&oARiAQHAjODALAp8gf5oeKnfVN8MICWbkUIHx1&oEpQN1HEkFRQQEkIGBFlAUTDgvSaBD1zfF0Eeh,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/ooAT6IKhLHERTmbDAGCdteeoLAOgkRejPIKqB8/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2574&bt=1287&cs=0&ds=6&ft=4KJMyMzm8Zmo0DLQ1-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=ZTpoaGVmOzVpNTw0aTs8ZUBpajw0O2o5cm04cTMzZzczNEAuYGJfNjJiXy4xYjRhMWItYSNrcWlxMmRjMDVgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712089964&l=20240331203213F96A2CA35D243E5C20BA&ply_type=2&policy=2&signature=92df96effbd6c3d69d176993bd67872c&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711917133.682187,1711917133.6832352,1711917134.548327,1711917134.604975
5,oY8vfAB2TmnBHiIGyOhLsQpCwIUIAHyESd9Xi0,103,1501899&1479415&988836&774266&700097&476657,oY8vfAB2TmnBHiIGyOhLsQpCwIUIAHyESd9Xi0&ogmY3gSDlBe6CWpFEkXvQAQcEDNlfsYgORIV1X&oUERNhIl69vOTzDpBgfmFcASgYQCQYfXDvsl8E&oMBfRCD8sVvfYTBNlcpOSFXEgm6FQElpDIgAAC&o8CFmEBpQrRSmYRXRf6cRIvNlPNMODMfsgEgAD&oQBHFyXAO0siCgiIUhEQbdApGmwfTL9I3D2IHB,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oY8vfAB2TmnBHiIGyOhLsQpCwIUIAHyESd9Xi0/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2932&bt=1466&cs=0&ds=6&ft=4KJMyMzm8Zmo0DLQ1-4jVU~.dpWrKsd.&mime_type=video_mp4&qs=0&rc=M2U5MzhkNTtmZ2Y2ZTRlaEBpajR1NHc5cjhpcDMzZzczNEBjMF8zNGEzXi8xLjUyYDFfYSM2Nmw0MmRzYG1gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712090037&l=20240331203213F96A2CA35D243E5C20BA&ply_type=2&policy=2&signature=ec5ae6141d32b7b69dd481cfb7a29b17&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&2&14&28&24&25, 1711917133.682187,1711917133.6832352,1711917134.548327,1711917134.604975
6,oMVe6F4EEEzIg30IlSfTYWTARxT7lDSaDEgNBh,5,628085&487240&455382&330689&264722&202959,ogW1fAD0YnPDlFRal46TTGSEgIjSBTQEAgelEI&oUeIjeLppgGvn7SAmgHAeNIhLkQZjuoHkpIKvC&oMVe6F4EEEzIg30IlSfTYWTARxT7lDSaDEgNBh&oofBXlTS0BDFa3YIDEIceKA564TgjloTDERSEX&oMDTDEeCTEV0TF5E6S7fzaMN7IiYBRg4SlIlAD&o8eokunAHHCIfjAh7eGpkLQbpgwmiqjOKLgI2N,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oMVe6F4EEEzIg30IlSfTYWTARxT7lDSaDEgNBh/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=888&bt=444&cs=0&ds=6&ft=4KJMyMzm8Zmo0VwQ1-4jVSQZdpWrKsd.&mime_type=video_mp4&qs=0&rc=OjYzZGdlN2VkOGg7ZjlkOkBpM3Q7N3g5cm44cTMzZzczNEAvX2I2MjIvNS8xLTE0YWM1YSNgZW9wMmRzNjZgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712089989&l=20240331203303B216B0C6E19BF265C93B&ply_type=2&policy=2&signature=9f80101ec25423e3ecd095428f0b7570&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&normal_540_0&adapt_540_1&lower_540_0&lowest_540_0,2&14&20&28&24&25, 1711917183.6439412,1711917183.644514,1711917185.074707,1711917185.100126
7,ocD16SGsEBftYIEtXfRYEAsD58caVgOmQXAOFl,72,2658736&1719382&1530959&1199385&771289&501085,oIuIAIYgj5xQLAyeqF0adrtEMceGICLZkvvHle&ocD16SGsEBftYIEtXfRYEAsD58caVgOmQXAOFl&oUAEafV1fgXRDiNEQYsEAsBSZDtFIplmlO8XRi&osBI0erqeAYjG4UIgxYIAZCkyHaLQf1MLc5vzF&ootAaBEVUuDGR7gO8XsfFM1DfsSQClEEYYIsm8&ogltCsOYEWVaBfXEIsE1gDA7QRFUTSfmggYD8E,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ocD16SGsEBftYIEtXfRYEAsD58caVgOmQXAOFl/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3358&bt=1679&cs=0&ds=6&ft=4KJMyMzm8Zmo0VwQ1-4jVSQZdpWrKsd.&mime_type=video_mp4&qs=0&rc=NTloaThoZ2dlZzc8OjY7Z0BpM2hrdnA5cmVvcDMzZzczNEAtYjFeYC0tXi8xNi8vNi8vYSNhcm0yMmQ0cm5gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712090056&l=20240331203303B216B0C6E19BF265C93B&ply_type=2&policy=2&signature=8f1ed39753fce5be541fce7511392b3d&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711917183.6439412,1711917183.644514,1711917185.074707,1711917185.100126
8,owOskFCjkDLdTCIfUAFnAMJGQf8G0jHEfjIOkg,39,557781&479475&334020&299989&260732&218354,owOskFCjkDLdTCIfUAFnAMJGQf8G0jHEfjIOkg&oAAPHIVLkEGQCjuEfWnfCFRTyDEB0kIkexGCnA&o0FfIkW0GDAZKnBAkkFkHjLQKIGAeCbTECf4nE&okAgnFGGfT0FDKuCjfnCkJIkAkEEHezI8LUCQs&oUEjCYIOkVpncODGCAfsF0AkgfQ82CfGHkTLUI&o4ACHIFLkEGgCj7IfsnfCFKTeD4L0kQk8mGCnA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/owOskFCjkDLdTCIfUAFnAMJGQf8G0jHEfjIOkg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1088&bt=544&cs=0&ds=6&ft=4KJMyMzm8Zmo0VwQ1-4jVSQZdpWrKsd.&mime_type=video_mp4&qs=0&rc=N2g7NDVpMzUzPGVlZTczPEBpM3g3N2w5cmtscDMzZzczNEAuX2IuNC4wXzIxLjJfLWA2YSNfM3BhMmRrY2dgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712090023&l=20240331203303B216B0C6E19BF265C93B&ply_type=2&policy=2&signature=5e5be3d23c68573dcecf6b37a5df5671&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711917183.6439412,1711917183.644514,1711917185.074707,1711917185.100126
9,oEjKulDZE4BRAF6uZgSQSgDNfHCxBEDgEIyfRl,6,1627803&1499918&924440&837489&631200,ocxFDyw4fAIFg3nCQBIyhGAiHiBpiCPsMoBEqw&oEjKulDZE4BRAF6uZgSQSgDNfHCxBEDgEIyfRl&o0Ms8PBDIiA3EOA4iLipHHCTBwogfIxFyhE3wy&osBMF5f3KxyoyiPCxvwAADpii4EBGIhwIs3Gch&o0oAtsDfjFwyiBAwI35iIGyBwidCpbHhMx4LEv,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oEjKulDZE4BRAF6uZgSQSgDNfHCxBEDgEIyfRl/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2928&bt=1464&cs=0&ds=6&ft=4KJMyMzm8Zmo0VwQ1-4jVSQZdpWrKsd.&mime_type=video_mp4&qs=0&rc=PGRpNWY4NDtoZDtpZ2g5OEBpM2w5O2o5cjRrcTMzZzczNEAtLl4zMjA2NWIxMzYvLjRiYSNlbWIzMmRzay9gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712089990&l=20240331203303B216B0C6E19BF265C93B&ply_type=2&policy=2&signature=579ebae26fab48f058199732994bdd9f&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&lowest_540_0,2&20&14&24&25, 1711917183.6439412,1711917183.644514,1711917185.074707,1711917185.100126
