seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,oogPjsao2OAZBEUx4cvBZYBmEi4aHiQI6UhC9,8,1347103&1018822&800873&656558&617369&615234,oogPjsao2OAZBEUx4cvBZYBmEi4aHiQI6UhC9&oEJVY0gYQItfK7CHMZLIoGGCUIcckjGeAA4Lej&oMZIaioE4UExACBgP2iYa9ijHhNSsUOH4vnBa&o8YUGe0VIIekIDyt4VLALCcQQGjMAijY9HJyf7&ocv5x4PZHBZp9OCBpcEjIoCsU2h2oagiKEPAi&owSvAiCNhvBg4osajZPUEUxIYiOYu2BEDH4K9,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oogPjsao2OAZBEUx4cvBZYBmEi4aHiQI6UhC9/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2630&bt=1315&cs=0&ds=6&ft=4KJMyMzm8Zmo0GNc1-4jV3lbdpWrKsd.&mime_type=video_mp4&qs=0&rc=PGY1OTo8OjU0NDY3NTs3M0BpM3B5NHc5cjU5cDMzZzczNEBfYTUvXjMxXjMxL15eMi42YSNqMG00MmRrM2hgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712080795&l=2024033117594605F173B8684C4E5678C0&ply_type=2&policy=2&signature=ecb2190d58efec19c9410228f2068a1e&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1711907986.45748,1711907986.457953,1711907987.6568599,1711907987.685222
1,os3QEh2iEFA7x4KgIRfDS7tAkViyTtlEiDgfBw,6,420017&320900&229847&223858&172488,os3QEh2iEFA7x4KgIRfDS7tAkViyTtlEiDgfBw&owbICyuxiiA9r8EwEIWBp9WgSKRHJ2yi5BwfAa&oYAwI8BR8LSfJ8OWi9WwpI9iCx2iICygBEwAaK&osiIWKEi2H3wB1BgAwfxi9ApCJIKY4b9BS8yRC&oIK9yBJIxNiSBC9fCw2iwpyYRjIg8A94iEWACb,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/os3QEh2iEFA7x4KgIRfDS7tAkViyTtlEiDgfBw/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=820&bt=410&cs=0&ds=6&ft=4KJMyMzm8Zmo0GNc1-4jV3lbdpWrKsd.&mime_type=video_mp4&qs=0&rc=N2U3aTxmZmY7OjdkOTU2NUBpamR0dnA5cng3cTMzZzczNEAzNWEyX2JgNjExLS1fYWAxYSNsLS9yMmRzNmVgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712080793&l=2024033117594605F173B8684C4E5678C0&ply_type=2&policy=2&signature=fb81f1036b504a398ece2f97395d9c30&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1711907986.45748,1711907986.457953,1711907987.6568599,1711907987.685222
2,oAxeuLIdAf0jmG7JRg5Hj8SHfHII1LSkAACWgF,87,1395506&1186606&732058&633529&504997&334861,oI8guVJFHG61Hk0WjgLHAIRIjA7eAwjeI5CLfu&oAxeuLIdAf0jmG7JRg5Hj8SHfHII1LSkAACWgF&o0R3V9gRREmcfHBlAYQREdIrfEEnvBDSCD9R6F&okERkRIgSTAFYE3dHhRC96fBlEDuDBGE9QRlfr&o8CbjfG51XueIUuHW8BFkujIAg7LgIL0HRAAeJ&oMejWkjAHgCI96Ae7xGEkLIe1QGIv5jvuLwIPC,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oAxeuLIdAf0jmG7JRg5Hj8SHfHII1LSkAACWgF/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2316&bt=1158&cs=0&ds=6&ft=4KJMyMzm8Zmo0GNc1-4jV3lbdpWrKsd.&mime_type=video_mp4&qs=0&rc=OTU6OTZlN2dnNTVmOjU6ZEBpMzU6ang5cjdxcTMzZzczNEAvMGA2Mi82NS4xMjUzYl4wYSNgbl5zMmRjL2lgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1712080874&l=2024033117594605F173B8684C4E5678C0&ply_type=2&policy=2&signature=6d8356a0609381a2740b4cdd7659df43&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711907986.45748,1711907986.457953,1711907987.6568599,1711907987.685222
3,o4PqDVfDSQpfRSlEBUyqO0o6nBSAKEgkFgCRIg,8,1319996&1048884&773675&727444&632295&541737,o4PqDVfDSQpfRSlEBUyqO0o6nBSAKEgkFgCRIg&o0g1IOAyBwBEnPIVBipWfQUATIUB6i0QdppqKC&oAVpIVizn1pI4UBTBMBAEQ60IgywqAXCBdiKfx&ooSB0zqAO6VDtBpfWnQRRRfgEoDFnUElgQqIS3&ocIDl0Tp4VR6EBqBiZgDeS9AEGSqnopQqgfFRU&o8aQIfU1BBPyi5KCITiqd4II6ApEgVpw05ISQA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/o4PqDVfDSQpfRSlEBUyqO0o6nBSAKEgkFgCRIg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2578&bt=1289&cs=0&ds=6&ft=4KJMyMzm8Zmo0GNc1-4jV3lbdpWrKsd.&mime_type=video_mp4&qs=0&rc=aGc6O2g2NDdmNTpmOmQ4NEBpam5kZ245cjd0cTMzZzczNEAyNTFhMTNfNi8xYF5gX2FfYSNeZjZkMmRjZDZgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712080795&l=2024033117594605F173B8684C4E5678C0&ply_type=2&policy=2&signature=713672197d2546f3608244557fbc2f93&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711907986.45748,1711907986.457953,1711907987.6568599,1711907987.685222
4,ocCjDLfDSIenRUlE4AZkOlWgWBZAyEEyFJaKEg,6,821222&721616&437855&406137&321653&306366,ocCjDLfDSIenRUlE4AZkOlWgWBZAyEEyFJaKEg&ocREgEeIRELIlAAfWrklGgk3jW9DEBFKS42DiU&oAEx9AfGSlIKIAReEKgWQoFEbFCtxlWZDzDgBl&ooeEQSIxKDA7AGUNNgF9DRlJ8EogtBDlIWfIsE&oYK2Ex1lgE9RAQWylYIcGGFeEoDsSgfABtHIDM&osERESlAg0w4LKkWDDIUWlFG4gDBLgfeEAE4jd,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/ocCjDLfDSIenRUlE4AZkOlWgWBZAyEEyFJaKEg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1602&bt=801&cs=0&ds=6&ft=4KJMyMzm8Zmo0GNc1-4jV3lbdpWrKsd.&mime_type=video_mp4&qs=0&rc=NDNkaWlpOGhkZmk0ZjczM0BpM3BnO3g5cjUzcDMzZzczNEBhYWAyNjEyXl8xNS1gXy00YSNmNW1wMmRrL19gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712080793&l=2024033117594605F173B8684C4E5678C0&ply_type=2&policy=2&signature=e2064f466f8e25eeb7ba2d452a72ffd8&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&lowest_540_0&adapt_540_1,20&2&24&14&25&28, 1711907986.45748,1711907986.457953,1711907987.6568599,1711907987.685222
5,oo4UPmMEgnaiapKwEq6dbJZuiQOjyhA4BIxLB,15,437925&391547&290577&213970&213633&163717,o8qBbBAMuxil2EwhECgHdcdmZyIPj4pwKqiUM&oo4UPmMEgnaiapKwEq6dbJZuiQOjyhA4BIxLB&oYxwIWsUZEjhq4MmAdBmiKOEcIBiPbuy2pgKI&o4xypiNzibhUKgmBEnZiE74dIGwJFMuqqAPBj&oMdPUCuqlBxbympoiE4GBwZqBEIIhgMjqi7AK&oQxMjZnEPKubiAkilBBwpg4dhEUtyWqmExHmI,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oo4UPmMEgnaiapKwEq6dbJZuiQOjyhA4BIxLB/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=764&bt=382&cs=0&ds=6&ft=4KJMyMzm8Zmo0GNc1-4jV3lbdpWrKsd.&mime_type=video_mp4&qs=0&rc=OjxmZTU8ZTs5aWUzPDxkZkBpMzk5O2o5cndkcDMzZzczNEA1YzU2NjQuNjUxNDBgYC1jYSNrNGIzMmQ0Zm1gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712080802&l=2024033117594605F173B8684C4E5678C0&ply_type=2&policy=2&signature=b36ce00c45103d0e6f0491837e158e86&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711907986.45748,1711907986.457953,1711907987.6568599,1711907987.685222
6,ooC7jlGwve4eBhPIfD7dkU1Ilg9LgIL6HQAANE,5,1024001&852862&683651&565912&440496&326510,ocLgklfD1CEg4ALj9H6QdketDvIIA4edwBgGIg&ooC7jlGwve4eBhPIfD7dkU1Ilg9LgIL6HQAANE&oIejMQARAGLe0uIPgCfGJkXF6vBSwH8465A0B1&o48IdGLvCQG61eMABQyAeuIhLfIRjKkHkcP4wC&ogBvGe91IIVkQNwEDTLALCdfgxj4AZ6geHYYIo&oci1B9OggIEIsfXH4gLIfGaCvQldk6beAADLdj,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/ooC7jlGwve4eBhPIfD7dkU1Ilg9LgIL6HQAANE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1664&bt=832&cs=0&ds=6&ft=4KJMyMzm8Zmo0GNc1-4jV3lbdpWrKsd.&mime_type=video_mp4&qs=0&rc=OTQ7ZTg2ODg6NWlpZDk2N0BpMzQ7Z3k5cmh2cTMzZzczNEBhYzAvMzYyNTMxXzBeLS4wYSMxcW41MmRrLWNgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1712080792&l=2024033117594605F173B8684C4E5678C0&ply_type=2&policy=2&signature=4ec536b42d1ef58d538e918cd7bad6a7&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711907986.45748,1711907986.457953,1711907987.6568599,1711907987.685222
7,oEwDuQ3EF9IQ0HzlAtQERXnF1f7pAgEVEDfBAZ,58,1131328&1105644&798353&653558&594890&431263,o0b3IVED6tfEZwhQYlFQEQfEGHFnnRA0D9BoIA&oEwDuQ3EF9IQ0HzlAtQERXnF1f7pAgEVEDfBAZ&oUIlQlZEzBFFBARnwDEAXFEE3XDJQ0Qhtff96V&oEOvygJeLGIxchGgChLIAvG7IoAjf1JIQbeyqL&okLoaCDfiSL5Cl2IA7hCeIAfAjXNiq8c0ANMvQ&osEDL9IAVzAFfEFXDXRQw0fnB3DBEBDEZQzltQ,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c002-tx2/oEwDuQ3EF9IQ0HzlAtQERXnF1f7pAgEVEDfBAZ/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2158&bt=1079&cs=0&ds=6&ft=4KJMyMzm8Zmo0hNc1-4jVYhzdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZWczO2ZpZmk5ZDc8ZDtmNkBpajs5ZnI5cnk4cTMzaTczNEBgYjA2NDJiNl8xMy5hXjU1YSNjbXBfMmRjbzVgLS1kMTJzcw%3D%3D&btag=e00088000&expire=1712080847&l=20240331175949E1F6F843B61BBA55E0CD&ply_type=2&policy=2&signature=59aae225bb0e42f67abe4248da644bdc&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711907989.005568,1711907989.006146,1711907989.883303,1711907989.884372
8,ocenQUEDpNfBGp8gGlR9EGkIwXFjXRAvdlB9xg,62,1900499&1598527&1176699&863444&846781&607490,ogN0LaPIPuG6ARbgeFLWAz7GAIQf4GHIejeRMS&ocenQUEDpNfBGp8gGlR9EGkIwXFjXRAvdlB9xg&oo9rw3BQtEyIiOjzgqfAImyUC0D8HoCuAiASNI&oMoCr3Q2mijSAAqYuy0yIOwGziIRfADBE9Gw8d&osMLgfGXDBelFhdEl9EMRPQtvBUINkGgpkRMnA&oADN9wfngdGRlFIEGXpBAlUkEvIBGQXgRGqf7q,https://v16-webapp-prime.us.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/ocenQUEDpNfBGp8gGlR9EGkIwXFjXRAvdlB9xg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3122&bt=1561&cs=0&ds=6&ft=4KJMyMzm8Zmo0hNc1-4jVYhzdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZWlmNmhkODs2NThmZjQ0aUBpMzZ0ZG45cnNrcDMzODczNEAuXi4vNTJjX14xYjViYjRgYSM2M3FnMmRjZ3JgLS1kMTFzcw%3D%3D&btag=e00090000&expire=1712080851&l=20240331175949E1F6F843B61BBA55E0CD&ply_type=2&policy=2&signature=555b88a0818a283308f9ed208d35c1c9&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711907989.005568,1711907989.006146,1711907989.883303,1711907989.884372
9,oknOM83ZIQekiJXEEDLAXCY7Azj1Af5R0HAe31,214,1240064&1204354&865911&724869&637027&460485,oknOM83ZIQekiJXEEDLAXCY7Azj1Af5R0HAe31&o0iMQDCLHA1IMGjEeItbegRAdZxGOL7n1kesbI&oILOs7RYIV1ECeiIQZs7bHAwgjLItkeMeAbGnI&ocEnqgkGLCY7RPeLIlH1fAQiIHb7eOQAMjILcZ&ookdRlQxnyGEErD1DAETI9zfsNsgWFIDQfSBia&oAjEifadfgHRDKLEQN9EAsBSrDnFIK8GlIzxyi,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/oknOM83ZIQekiJXEEDLAXCY7Azj1Af5R0HAe31/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2422&bt=1211&cs=0&ds=6&ft=4KJMyMzm8Zmo0hNc1-4jVYhzdpWrKsd.&mime_type=video_mp4&qs=0&rc=Ozk4OTVlOGVlaDo4NmU0M0BpMzt1O3g5cnV0cDMzZzczNEAwNGM1Xi0zXy8xMjBjXzNgYSNlcmxwMmQ0bWJgLS1kMS9zcw%3D%3D&btag=e00098000&expire=1712081003&l=20240331175949E1F6F843B61BBA55E0CD&ply_type=2&policy=2&signature=864b2c678a4ead7be77f9bdbd6061e68&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&2&14&28&24&25, 1711907989.005568,1711907989.006146,1711907989.883303,1711907989.884372
