seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,o8viZQA4BMiUBjLYCNEIEd3CgNhR8YwhKydU7,11,1622570&1107643&842953&722015&626764&603361,o8viZQA4BMiUBjLYCNEIEd3CgNhR8YwhKydU7&oY4NilZ8BMAJwtYydQUCEQiEBhYvdNgIBjL0g&osaRk2EfECalbYSKEYBi83gQDfAzFDgC7BZlPI&osiN0EUvPgwiYB4Bh8N7AQOYBZMEBjddIhycC&oUAyZvNOEidBg4r8HjONTY6UBlYEChwVMlIdi&oQyYdgMAEIhdiBNBxr93NECYU4vZZ7wKNai8j,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/o8viZQA4BMiUBjLYCNEIEd3CgNhR8YwhKydU7/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3168&bt=1584&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=ZjhnZDVmNTYzNGg7MzU5NUBpajQ8bWw5cnJpcTMzZzczNEAuMTEyLzIxNi0xLzA1Yy9eYSMzby0zMmRrLWBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714247909&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=36fde74c395456caa4c2a2a4bbe5a3ac&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
1,oQQDIjCLW8xgELd666nGeAgIkuHeAbFZfIU5IY,69,1412523&1239414&853656&798830&674127&499737,oELzAfCLHAfiifjpcQk28B7Axb8M8X0EYk2h9I&oQQDIjCLW8xgELd666nGeAgIkuHeAbFZfIU5IY&ogEjf9E49nm8BpDuCAfdFCAkQCI39H3NHMeLwI&ooMI8eQvCFudACkkfL9NjiAGCEIRfH3DE4w0bS&oM4u3FgIjECAdk1f9DIQ8fDLjBdFEHNMCAtCwe&o4HQMEEN49LAdXyw8REQCFeIjHdDCACkfIfPu3,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oQQDIjCLW8xgELd666nGeAgIkuHeAbFZfIU5IY/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2420&bt=1210&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=ZzlnNTNnaDs2M2c3MzY0aUBpanF4cXg5cjZmcTMzZzczNEBhMjYtXmJiXzYxYDI1XzFiYSNicWdkMmRjLnBgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1714247967&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=503ecf2aeb2c294b872972057ce09529&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
2,oYFilCAgIuIprtDgIPy4XEfXybI7QBE46QiwAB,27,1879554&965301&956242&726773&427433&297260,oIyXIXFCABi2gwKGl7aAPi2ytBpOgEQ4If6XGQ&owIAtiBkQQgPjy64lyRiAlpXFKICEDgXBf7Fiw&oYFilCAgIuIprtDgIPy4XEfXybI7QBE46QiwAB&osfQkI7IAA2UHwlLjFfgeLDCkEr3KEIAkwvAgX&oQaCB6gpgEAfFB0Qgm7tXPQylwiy4ABryIXIZi&oIlPfitkAbgIEByFEl7Bg44Xj9iC6ynpwPAXIQ,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oYFilCAgIuIprtDgIPy4XEfXybI7QBE46QiwAB/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1866&bt=933&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=NWZlNmkzaTczODtlZTZpZkBpajh4N2w5cjN4cTMzZzczNEA1Yl9hNDZhXzIxNTYyY2EuYSNmLS9wMmQ0b19gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714247925&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=a36bd3e009e874f9dca9d602232819cb&tk=tt_chain_token,adapt_lowest_1080_1&adapt_540_1&normal_540_0&adapt_lower_720_1&lower_540_0&lowest_540_0,2&28&20&14&24&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
3,oYBRIHTJg0gASBQAjBNCysAUiiZvNc4aIiiEE,7,1294040&1199504&977542&653477&473723,oYBRIHTJg0gASBQAjBNCysAUiiZvNc4aIiiEE&okBvi0aZAIBGcHRNBdI0CgjgTEyUiAFQ4gEAi&o8IK1BZiU4AcEiRNaiIyc8TI0EgjvBANDgA5E&oIEokFaEEIZQgfInAAfhiHyARYAFmDS0DSuTBH&oQkARAiVmQSIEdDoEBIFX5hEI0DNafAnygfqSA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oYBRIHTJg0gASBQAjBNCysAUiiZvNc4aIiiEE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2526&bt=1263&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=OGU8NDU4ZWk6NzhmNjw6Z0Bpamw8am45cnYzcjMzZzczNEBhMjMzLV5fXzYxYDMzYDYtYSM1NDAzMmRrZGRgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714247905&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=1952f5f640c9df82d242ebb425db5274&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
4,o8jABDLvz4QyiBA6Ib0SI2nBwi1CpCQqpDfhEh,5,2926288&2210369&1894834&1535649&1091179&757219,ogvyLDIjClBfD4hid3ibLIARBSCqEwA6jnQppA&o8jABDLvz4QyiBA6Ib0SI2nBwi1CpCQqpDfhEh&oo2aIuYXGROwGEe7fjgBgyFAcA5AfqUw4X4i0f&o8TLjJsGCAH1gjjSAQFke3kDufUOHPNEHICf4I&oo4S6iAIpByHfDCb2wEqAhzDIvnLpyBii2EkjM&oAyjI4nCABiwDwHYS2pAviz6bBpuLEqpIjfDsI,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/o8jABDLvz4QyiBA6Ib0SI2nBwi1CpCQqpDfhEh/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=4316&bt=2158&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=ZDw2aTpoNjllaThlNjg5O0BpMzpmdHQ5cmVncTMzZzczNEBgMGNjMy4zXi4xYmMxYWE0YSM2NGRoMmRranBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714247903&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=edea9406a53990330bef9514b33cab3c&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
5,ocw2wEDJQFAbImBDigESeVEFDsFlfRFMmb64gO,15,2886589&1665651&1487208&1424032&771766&534735,ogAiIKBWB0iftFliMY7NppkiQR2iICz7BEwAHH&ocw2wEDJQFAbImBDigESeVEFDsFlfRFMmb64gO&ocIDmDgssFJFEBiwsBbDe2UAE4SKYOFQbgfFRs&oI2IgfDQwFGsDumibFFJEAEFYDsJf7AORgBbYS&o4BARAii6DBBI6wHtYY7i8MBf2pQczECViIkNj&oI6MIzUYBQNiCV0YBAEkH2tfkilwUiIBP7pARi,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ocw2wEDJQFAbImBDigESeVEFDsFlfRFMmb64gO/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3252&bt=1626&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=aTVkPDpmZWc2ZzZkNDQ1O0BpajplNnA5cmw4cjMzZzczNEAzNDVhMDUyXjUxNmFjYTUtYSM1amBgMmRjYTNgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714247913&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=bd1acdef9577f0dccfa43b4679705f3d&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
6,owSB9idAnPMDfqs1gE8RZ9fBEyDFp4ElgQUIhO,7,2691542&1954030&1491170&1307666&1157582&1095713,owSB9idAnPMDfqs1gE8RZ9fBEyDFp4ElgQUIhO&osERMuIps3odlEDhBgfUFqASgBQyMDy9DP9lfE&o4KB5QSBlB825NQiiBXPIAIVEDm0f9wgOREMve&oUIRBSlAPkgqX9UpDDQhy9F3eCgBMgfsE4EZdq&oEOU0AQcPSQhmiElH9ifDBgw58iEBKIVRBB2Ee&oI5iKEBQIrRSbBBe9f2V0EPmlMA8OBrW9QigAD,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/owSB9idAnPMDfqs1gE8RZ9fBEyDFp4ElgQUIhO/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=5256&bt=2628&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=NmlkOmRkPGhkOTZpNWloZEBpM3NzbXA5cnlpcTMzZzczNEA0MDIyNDM0NmIxYzEuYi8wYSMyLmheMmRjLW5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714247905&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=405592a1107ed8b5db12b8099fa3cff4&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
7,osXBEDAFfIK0TRQgMTE6WxE4zlj3DfvBSIBlgr,8,1097887&1010374&667172&592475&512614&435786,osXBEDAFfIK0TRQgMTE6WxE4zlj3DfvBSIBlgr&ogKj1gkGLCGotueLICIxwAQZIHvXe1eAAjIzvv&ok4Eg6LzMFflABSTXl03RDgSxEIBfDWDErjL1V&oEtoGL4PeACJUAGvIQfXjZIAvLjlx13CekIQHK&o4nHjLGtLVtv1jrDejxKACeIZovQIkReALxAqI&o8IElf4rfgTRDcXEHX0EA3BSjD6FIBXglWxMzT,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/osXBEDAFfIK0TRQgMTE6WxE4zlj3DfvBSIBlgr/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2144&bt=1072&cs=0&ds=6&ft=4KJMyMzm8Zmo0YUdC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=OTk5ZTk1MzozN2Q5PGRkaEBpanBpN3Q5cndycTMzZzczNEAuYF41Yi5iX2MxY2EyLi5jYSNmci4wMmRzbGlgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714247906&l=20240425195817F22D2E39319C8E055579&ply_type=2&policy=2&signature=4b0d9cfdb39db888b23a1eb8e48579a8&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1714075097.126768,1714075097.127041,1714075098.3773482,1714075098.385515
8,okvEMi0viRh4EObEoKgyRUmOBZZBAo73OIcmQ,62,1889353&1852121&1250099&1018878&966900&667239,okvEMi0viRh4EObEoKgyRUmOBZZBAo73OIcmQ&o4wk5NIjDItZQo2eAdFgkfjaRCfsLbHQEcANIa&oEIo0vQE4RbEm7mRUgmiOiYhoYBZ1bAyBXvJc&oQBUougEnZvRCmoImQiiyH0ZzOE7vRbAoB4mc&okyBREvmKvUOoE4bPAIHi0oOyQERZmscgBD7i&osDNAE2geI4aaFIIRkffFkaHSdKQCjAjoLQNAH,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/okvEMi0viRh4EObEoKgyRUmOBZZBAo73OIcmQ/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3690&bt=1845&cs=0&ds=6&ft=4KJMyMzm8Zmo0jUdC-4jVd42dpWrKsd.&mime_type=video_mp4&qs=0&rc=MzVmZDpkZWQ8N2dlPDpmOUBpMzs7c3U5cjk5cDMzZzczNEBhLl9eM2A1NjUxLjI0LzIxYSNocWo1MmRrc25gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1714247962&l=2024042519581985B2ACF00567F704DA79&ply_type=2&policy=2&signature=ef78e724778ffc12338896b29895c8bb&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&2&14&28&24&25, 1714075099.680046,1714075099.681317,1714075100.579447,1714075100.6066282
9,oowjkyEDeCypKkqTIUneJVAIDfAgFIQq3CFLEE,17,1087372&1003930&704578&557745&537660&396898,o8k3qCrIjEyAYq3fkHIQUeDLQlwFEIeECAMnJy&oowjkyEDeCypKkqTIUneJVAIDfAgFIQq3CFLEE&oYXjDEAeIyLQ3dIXECkdqqFBUywDJIfEk9Alne&ocqkjEwXLIqBIJIkJCyFK7nEEeDQyPA3eAfRWU&oYPyqIeEDe5nECJqAEfTAEQH3FyUBLIIhkwjNk&oQC6AJVyEFPSyIEaQLEDkTfgIeJHAn9UIqkevj,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-ve-0068c003-tx2/oowjkyEDeCypKkqTIUneJVAIDfAgFIQq3CFLEE/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1960&bt=980&cs=0&ds=6&ft=4KJMyMzm8Zmo0jUdC-4jVd42dpWrKsd.&mime_type=video_mp4&qs=0&rc=ZGhnOjxoOmdpODtlaGkzNEBpM2R1bGw5cnk1cTMzaTczNEAzNTFjYl80X2MxYS9gLjJjYSNsY2dgMmRrNmZgLS1kMTJzcw%3D%3D&btag=e00088000&expire=1714247917&l=2024042519581985B2ACF00567F704DA79&ply_type=2&policy=2&signature=76a0209678c1eabebb1fbc86139157c6&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714075099.680046,1714075099.681317,1714075100.579447,1714075100.6066282
