seqnum,url_chunk,duration,bitrate_string,url_chunk_string,download_addr,gear_name_string,quality_type_string,request_time_start,request_time_stop,response_time_start,response_time_stop
0,o07CDftlEEzSE53eOQmgFBAJIjRdAl65ADnEnh,30,1240170&852352&636999&578968&465222&459956,o07CDftlEEzSE53eOQmgFBAJIjRdAl65ADnEnh&owQTIgDSRwnCAqDmOFwEf9uAy7tElEGgS6dYBe&o8mCcte3EWd5B6OEIlCJsDAvQRF5gSfA8gnD7E&oswD7MDPFCelC4JRIR35AB6EOtnIESQfgmdApE&owCA5BEdJLDBROge7Ot6F0JDftSQ4mEE4nIlAQ&ocBfdF7oA56RtDteE53DlOsnoFEECmjSgQBJIA,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/o07CDftlEEzSE53eOQmgFBAJIjRdAl65ADnEnh/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2422&bt=1211&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=OTw7PDc0NTw7Zzo5NTo4ZkBpanhpanA5cnN3cjMzZzczNEAwNmMxLjRiNjYxM2BgXzVgYSNwbi9nMmRjcTFgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714252936&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=53ccf785cdd15a585960994dc4218525&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
1,oMGIAQsgjj2QLAF85eQ8jiShffqMICXrkZCHaN,14,3538185&1957029&1604583&1271452&866468&580923,owyNfMfIjIZA8kH8s3Qgf2MLkLQXQHriCAyjK8&oMGIAQsgjj2QLAF85eQ8jiShffqMICXrkZCHaN&ooEINfX8fQMyrsgAjQsA8fQZL5IIjY2HkFXiFC&o4iLC5xCIrVLGnFAoARI8oMQjjf7GHQ2Ie2Efk&oMiIf8QjMLGoACki7L2rj1ABjII7eHfGE5FR1Z&osfFRQBoLHH7Qf75C2LIAjGrI8Ajh7CEIMeGki,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/oMGIAQsgjj2QLAF85eQ8jiShffqMICXrkZCHaN/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3822&bt=1911&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=OTZpZGU0ZmQ3OzhpZTM5NUBpM3lwbXc5cndrcTMzZzczNEAzYzZgYTA0X2IxYzNiYC00YSNoM3NlMmRjNXBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714252920&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=f96a0d08d4ae6459b5130568b0af39cf&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
2,oE2RDEAzQOlgZREPIB5AqVFDb3McfEfP9NA7w2,10,1420572&1246718&789250&697145&646028&466109,o0u3VQ2IDzcwPBfqAEfXA9gbZFObDlEE49MRX5&oE2RDEAzQOlgZREPIB5AqVFDb3McfEfP9NA7w2&o0LhTBmXcAuzQUt9I63feGfFUB5eQUmZRcYAgG&oQSEE32VVIAPq82bZ0fw5faaMAE9OBDulQzR0F&oAgR5LXcfFeUQmG1QeoZWUxAI0f3Yc6tzmhAGP&o4bP5AZHPVSxzEIlm3FfEBA8qfHNwMQORBD9E2,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/oE2RDEAzQOlgZREPIB5AqVFDb3McfEfP9NA7w2/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2434&bt=1217&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=OzQ5Nzs7M2U7PGg1ZWczN0BpM285bXg5cmdpcTMzaTczNEAwXi5fYC9fNTUxNWBeLWMzYSMwbWNnMmRrbGJgLS1kMTJzcw%3D%3D&btag=e00088000&expire=1714252916&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=939a0d4460c1cad9f1a4ac3404408d91&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
3,oIi4TmgiBMdcgZZBIU24wmvI2VEBQTgU3DE5A,9,1236321&1228290&750585&675785&651634&503065,ocBiAUEI2VBcg44gQId9w53SvDYPTxgB2UZEi&oIi4TmgiBMdcgZZBIU24wmvI2VEBQTgU3DE5A&osfGUMCADaBEj4gBtgDRSlIQ1QDDy4RTOFsEfy&osBwg4L5sDi3II2uTEMUgciHE2UvdZLGAlB4g&o4UzwBTd2vUEz4EZg3Tg2Bg5iiDc84LAPILUI&oQBUI3gEjMgTmw0IiIiiDuUZDcE2vgdA2B454,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oIi4TmgiBMdcgZZBIU24wmvI2VEBQTgU3DE5A/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2398&bt=1199&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=ODhmM2dnNDU7NDU8NWVkN0BpMztnaHA5cmpocTMzZzczNEAyMF9gYzItNjIxNC0zNDYwYSNvbDVkMmRrLl5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714252915&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=88a79ff63db3fef4ada72cc166974c0c&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
4,oIt5LmfQXvOlNiK8FGWQAXMtReAGVIfQgf8pIc,12,409925&395531&300914&260238&211697,oIt5LmfQXvOlNiK8FGWQAXMtReAGVIfQgf8pIc&okB2LhSIQExlca0HOyLI5D5CfIe2kUKfAAvF3j&osI8EHBDI5SfA6By3irZvYl7kiwC9iKwpqzcAn&owffkQ2IDlPLOC5xAEfLAVMRUFv2YLHIKhIjv8&ogLfDfh2IETkIWyxvKLAFC25QmjOAgUIHHRElf,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oIt5LmfQXvOlNiK8FGWQAXMtReAGVIfQgf8pIc/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=800&bt=400&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=OWc0N2g2PDY3ZjdlaGU1M0BpM3JkeGo5cndocTMzZzczNEAtMzYwMy82XmExYi0yLTEyYSNmaG5vMmRrMnJgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714252918&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=c4ea1da2be5af1b83dd0870c789f01a5&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&14&28&24&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
5,oEXfvFxKAWGRYD03IIfDTMJmIBEEBm7SgVBNQh,6,931284&850252&612029&514138&491421&383978,oEXfvFxKAWGRYD03IIfDTMJmIBEEBm7SgVBNQh&oovmBNhgETzFG4fAQgRQBIMLRxhmDDT0Ef6I3S&oweGgRiZQonjQEDbuyFWQJMeAcLeOYAfGNGI8I&ocNQALGgZMheOeYQDLfnRDIlbGoseaAuGXFiwI&oMMbnuAGeAgisiQaWGGYDeFQeIOILR1NZfiQlo&oIENmzREQDAfWIANImsghIMGSBFx3fBDvuQTi0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oEXfvFxKAWGRYD03IIfDTMJmIBEEBm7SgVBNQh/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1818&bt=909&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=ZTgzaDo3aDQzaDk4ZGdlZ0BpM3VmN3Q5cm5pcjMzZzczNEBiLTVgMzEyNl8xYWBfX2FgYSNmMzMwMmRzbDBgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714252912&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=c024196d1291de0e61c3166d908f2817&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
6,o0vIpE4pwAfUBx9BIivAGyBA9I8M1iCPF123Qg,81,905641&664902&463255&463030&417570&338748,o0vIpE4pwAfUBx9BIivAGyBA9I8M1iCPF123Qg&ogMKgeDDGOXXLfYR9gI43wQYgFIIEqeA3XGheA&o4GEBKeegYD3XLJRQe3FA9IqIgIOwQDAGevCtE&oA1I98iP2ExhBgpRCAf34BwIBvALiBQBPAhyGE&oIIXfaexgAmuAGueAAXpgBIM98GO4f3QORF8Hi&o8pA8oAAnG2BUx9bQDTIF3vfCBBig4iywI1EPO,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/o0vIpE4pwAfUBx9BIivAGyBA9I8M1iCPF123Qg/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1768&bt=884&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=aDczZWQ3Zzk5aGk2NGc5ZUBpajRyanc5cnFncTMzZzczNEBeYTMtYi9hNl8xLjNgNC4uYSNucjNsMmRrc2RgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1714252987&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=b28673492745f75c4a5816cd95fbf5a8&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
7,o8IRASmAs26GuisWDDQpRFF0yJgBzgfoEwEfYL,61,678681&482119&387129&381618&295802,o8IRASmAs26GuisWDDQpRFF0yJgBzgfoEwEfYL&owIiADE0EirIg2UsAwQbZ4v0M6B0MojZWhBvD&owWC2IA0igAYbM0hB41OZowiIQoBLXDZvUE2E&owBIgwQMzZiFIo2CbEmUD0ixE0WvhZ0sA6B4A&okL2ZQEh40gBAMAbBYWUIE52CRvwoIiLD0BiZ,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/o8IRASmAs26GuisWDDQpRFF0yJgBzgfoEwEfYL/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1324&bt=662&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=ZzQ5Njc5Zjs8NDhmNzZoNkBpMzs6bW45cjtmcjMzZzczNEBjYWExMmAxNWExNjJgYWBgYSNvNjAuMmRrLV9gLS1kMS9zcw%3D%3D&btag=e00090000&expire=1714252967&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=a2eb3f1a559dbec617f84967ef5e432e&tk=tt_chain_token,normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&14&24&28&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
8,oI2F57BgIiAdEKACTQipIUCBB1itfIDUznPcw1,11,1054998&835541&521097&472027&409684&293153,oQIUEQBbIUDCAEBz2icCf1KnTd1CgiBwpFigA0&oI2F57BgIiAdEKACTQipIUCBB1itfIDUznPcw1&o09L1BfinwCUzgTp2EAdIFAJTnIgiDCDB14iVU&oE7FDfrBEEzSIeoqtUmgFBOoQxREA8LmgDkdGF&ooVRjJMfMgkhI3HXQCKL6x2IQMGjagAXDAeGfc&ow2z7QdDWAx1GIX4wIiTCUpBgfn1FPiiBCAcUE,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/oI2F57BgIiAdEKACTQipIUCBB1itfIDUznPcw1/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1630&bt=815&cs=0&ds=6&ft=4KJMyMzm8Zmo0FjoC-4jVbhadpWrKsd.&mime_type=video_mp4&qs=0&rc=M2c7NDQ3aWc7aTM5Njk5ZEBpam9mPG85cmo3cjMzZzczNEAtNTAvX2IuNjYxMGAwXzEzYSM2X2xvMmRjcV5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714252917&l=20240425212145532D080CB8E925010CB8&ply_type=2&policy=2&signature=f2eced52f78d3914d3d26fecb8cc40a7&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1714080105.45055,1714080105.450861,1714080106.783009,1714080106.7960582
9,oEWIgxtQBmz7DflyzFHrE7EEoDtrfhAwRgBbNS,16,1200740&954211&531377&521057&478917&353533,oEWIgxtQBmz7DflyzFHrE7EEoDtrfhAwRgBbNS&oUSBtUzANHmDYBtEgD0RCrfbEwDFoeElgQyIWM&oEDBoBfbgmwHlFCEzBtBArSyEtIDeQzgRW9H9j&okt5BzfBpI2zILyCgdEZq2Yj0A1A0itCiQB1Ew&o8XpIDdaA3ajAgMALoQ9nILoItHokOeeChekGc&ogNbQSEDMBfDWtfW7lHoEwyIqnFDzRAtmrBoqg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/oEWIgxtQBmz7DflyzFHrE7EEoDtrfhAwRgBbNS/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2344&bt=1172&cs=0&ds=6&ft=4KJMyMzm8Zmo0ZjoC-4jV3KrdpWrKsd.&mime_type=video_mp4&qs=0&rc=PDM5Mzo2NGk5PDM2aDw5Z0BpanJmaHA5cnQ6cDMzZzczNEAxLmIvMzMxXmIxMWItYmIzYSNgamJkMmRzYW5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1714252924&l=20240425212148532D080CB8E925010CDF&ply_type=2&policy=2&signature=a722e233d450be23eeb073f72ca85959&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1714080107.9708521,1714080107.9712708,1714080108.9576519,1714080108.95929
